Date,Open,High,Low,Close,Volume,Pattern
2019-01-02,226.5,226.5,219.0,219.5,32900.482,None
2019-01-03,214.0,218.0,214.0,215.5,34615.62,None
2019-01-04,211.5,211.5,206.5,208.0,67043.521,None
2019-01-07,212.0,214.0,211.0,213.0,35695.176,None
2019-01-08,212.0,212.5,210.0,211.0,23794.481,None
2019-01-09,212.0,216.5,211.0,215.5,51255.446,None
2019-01-10,216.0,216.5,214.5,216.0,20832.593,None
2019-01-11,219.0,220.5,218.0,220.5,28658.288,None
2019-01-14,218.5,220.0,217.0,218.5,17612.296,None
2019-01-15,216.5,221.0,215.5,221.0,42990.923,Piercing Line
2019-01-16,218.5,220.0,217.5,217.5,30038.282,Bearish Harami
2019-01-17,218.0,221.0,218.0,220.5,21163.986,None
2019-01-18,219.0,220.0,217.5,218.5,52677.569,Bearish Harami
2019-01-21,220.0,223.0,220.0,221.0,32515.866,None
2019-01-22,220.0,223.0,219.0,223.0,30958.483,None
2019-01-23,221.5,222.0,220.0,220.5,18671.213,Bearish Harami
2019-01-24,222.5,222.5,220.5,222.5,31348.924,None
2019-01-25,226.5,227.0,225.0,226.0,48039.764,None
2019-01-28,229.5,229.5,228.0,229.0,29134.257,None
2019-01-29,222.5,225.0,222.0,222.5,42566.52,None
2019-01-30,220.5,221.5,220.0,221.0,51889.945,None
2019-02-11,228.0,229.0,226.5,228.0,81360.106,None
2019-02-12,230.0,230.0,229.0,230.0,30125.67,None
2019-02-13,232.0,232.0,228.5,229.0,28634.925,Dark Cloud Cover
2019-02-14,229.5,230.0,226.0,227.0,23647.751,None
2019-02-15,229.0,229.0,226.5,227.0,22369.799,None
2019-02-18,229.0,230.5,228.5,230.0,18163.916,None
2019-02-19,230.0,230.5,229.0,229.0,18423.023,None
2019-02-20,231.5,234.5,231.0,234.5,31887.71,None
2019-02-21,235.5,236.5,234.5,236.5,34013.489,None
2019-02-22,235.5,236.5,234.0,236.5,22032.163,None
2019-02-25,237.5,239.0,236.0,238.0,25227.138,None
2019-02-26,239.0,240.0,236.5,239.5,24586.789,None
2019-02-27,238.5,239.5,237.0,239.0,37947.889,None
2019-03-04,239.5,239.5,234.5,235.5,45164.513,Bearish Engulfing
2019-03-05,234.0,234.5,232.5,233.0,23708.407,None
