Date,Open,High,Low,Close,Volume,Pattern
2016-01-04,142.5,143.5,139.0,139.5,43800.291,None
2016-01-05,139.0,140.0,137.0,138.0,46502.108,None
2016-01-06,138.0,138.0,135.0,135.5,53873.344,None
2016-01-07,134.5,135.0,130.5,133.0,63475.065,None
2016-01-08,132.0,135.0,132.0,134.0,52641.383,None
2016-01-11,133.0,134.5,130.5,133.0,48536.267,None
2016-01-12,133.0,134.0,131.5,133.0,35133.164,None
2016-01-13,133.5,135.5,133.0,133.5,50237.061,None
2016-01-14,130.5,132.0,130.5,131.5,39498.49,None
2016-01-15,137.5,138.0,135.5,137.0,79648.971,None
2016-01-18,135.0,138.0,134.5,137.0,37008.681,None
2016-01-19,137.5,138.0,136.0,138.0,24995.537,None
2016-01-20,137.5,137.5,133.5,134.5,44423.192,None
2016-01-21,134.0,136.5,134.0,135.0,31957.378,None
2016-01-22,136.5,138.5,136.0,138.5,33926.219,None
2016-01-25,140.0,140.0,139.0,139.5,27213.347,None
2016-01-26,137.5,139.0,137.0,137.5,24102.538,None
2016-01-27,139.0,139.5,138.5,139.5,24547.614,None
2016-01-28,138.0,140.5,138.0,140.0,37913.413,Piercing Line
2016-01-29,138.5,143.0,138.0,143.0,57557.576,None
2016-01-30,142.5,143.0,141.0,142.0,11865.065,Bearish Harami
2016-02-01,144.0,144.0,141.5,144.0,43828.461,None
2016-02-02,144.0,144.5,141.5,142.5,25400.755,None
2016-02-03,145.0,146.0,144.5,146.0,71652.894,None
2016-02-15,142.0,146.5,142.0,145.0,77064.578,None
2016-02-16,146.0,148.0,145.5,147.5,56361.967,None
2016-02-17,149.0,149.0,147.0,148.0,38486.773,None
2016-02-18,150.0,151.0,149.5,151.0,61877.408,None
2016-02-19,149.0,151.0,149.0,151.0,37444.703,Piercing Line
2016-02-22,149.5,152.5,149.5,151.0,29751.439,None
2016-02-23,150.5,151.0,149.0,149.5,22500.491,None
2016-02-24,149.5,150.5,147.0,148.0,22082.824,None
2016-02-25,149.0,151.0,148.5,150.5,25233.069,None
2016-02-26,151.0,151.5,148.0,149.0,46425.984,None
2016-03-01,148.5,152.0,148.5,152.0,44046.047,Bullish Engulfing
2016-03-02,154.0,154.5,153.0,153.0,36101.65,None
2016-03-03,154.0,154.5,153.0,154.0,28867.121,None
2016-03-04,153.0,153.5,151.5,152.5,37794.356,None
2016-03-07,152.5,153.5,151.0,152.0,24052.58,None
2016-03-08,151.0,152.0,149.5,152.0,40643.284,None
2016-03-09,152.0,153.0,150.5,153.0,24634.641,None
2016-03-10,153.0,154.5,151.5,154.5,31343.947,None
2016-03-11,154.5,155.0,153.0,155.0,31297.178,None
2016-03-14,156.5,157.5,155.5,156.0,32987.563,None
2016-03-15,155.0,156.5,153.0,154.5,29437.607,None
2016-03-16,155.5,156.0,154.0,156.0,31126.817,None
2016-03-17,159.5,160.0,157.5,158.5,52228.954,None
2016-03-18,158.5,159.5,158.5,159.5,57866.711,None
2016-03-21,160.0,160.0,158.0,160.0,27687.094,None
2016-03-22,159.5,159.5,157.0,158.5,29303.958,None
2016-03-23,158.5,159.5,158.0,159.5,29439.666,None
2016-03-24,158.0,159.0,157.0,158.5,25198.949,None
2016-03-25,158.5,159.0,157.0,158.0,10970.033,None
2016-03-28,158.0,159.0,157.0,159.0,15857.144,None
2016-03-29,158.5,159.5,158.0,159.0,19152.246,None
2016-03-30,158.5,162.0,158.5,161.5,46113.332,None
2016-03-31,162.0,163.0,159.0,162.0,54094.182,None
2016-04-01,161.0,161.0,157.5,158.5,34544.879,None
2016-04-06,155.5,156.0,153.5,153.5,63133.315,None
2016-04-07,155.0,155.0,152.5,154.5,35933.073,Homing Pigeon
2016-04-08,154.0,158.0,154.0,157.5,42324.696,Bullish Engulfing
2016-04-11,156.0,159.0,155.5,158.5,23189.461,None
2016-04-12,157.5,159.5,157.5,158.5,14877.049,None
2016-04-13,160.0,162.0,159.5,161.5,40333.113,None
2016-04-14,162.0,162.5,160.0,161.5,31377.056,None
2016-04-15,157.0,160.0,156.0,159.5,50339.512,None
2016-04-18,158.0,158.5,157.5,158.0,20876.425,None
2016-04-19,160.0,161.0,157.0,157.5,27622.018,Dark Cloud Cover
2016-04-20,157.5,158.0,154.0,154.0,43418.112,None
2016-04-21,156.0,157.0,154.0,157.0,30419.233,Bullish Harami
2016-04-22,155.5,158.0,155.0,156.5,29237.052,None
2016-04-25,156.5,157.5,156.0,157.5,14669.483,None
2016-04-26,156.5,158.5,156.5,158.0,18539.344,None
2016-04-27,156.0,157.5,155.5,156.5,36967.022,None
2016-04-28,157.5,158.0,153.0,153.0,49282.82,Bearish Engulfing
2016-04-29,151.0,151.0,149.0,150.0,75959.754,None
2016-05-03,148.0,148.5,146.5,147.5,68909.16,None
2016-05-04,147.0,149.0,146.5,147.0,55586.383,None
2016-05-05,147.5,148.5,146.0,147.5,40687.466,None
2016-05-06,148.5,148.5,147.0,148.0,39401.142,None
2016-05-09,148.5,149.0,146.5,147.5,39783.802,None
2016-05-10,147.0,148.0,146.5,147.0,39210.189,None
2016-05-11,148.5,149.0,146.5,147.0,45610.564,None
2016-05-12,147.0,148.0,146.0,146.0,24008.945,None
2016-05-13,145.0,145.5,143.0,144.0,60713.306,None
2016-05-16,143.0,145.5,143.0,144.5,32239.094,None
2016-05-17,145.5,147.0,145.0,147.0,32716.713,None
2016-05-18,146.0,147.0,145.0,147.0,31106.657,None
2016-05-19,148.0,148.5,145.5,147.0,35192.869,None
2016-05-20,147.5,149.5,147.0,148.5,38046.045,None
2016-05-23,150.5,154.5,149.5,154.0,50174.359,None
2016-05-24,152.5,153.5,151.0,151.0,25677.62,Bearish Harami
2016-05-25,153.5,155.0,152.5,154.5,35410.557,None
2016-05-26,154.5,155.0,153.5,155.0,18822.152,None
2016-05-27,156.0,156.5,154.5,156.5,26617.621,None
2016-05-30,157.0,158.0,155.0,157.0,38311.828,None
2016-05-31,156.5,157.5,155.0,156.5,70177.201,None
2016-06-01,156.0,159.0,156.0,159.0,27743.096,None
2016-06-02,159.0,160.0,158.0,159.0,21999.904,None
2016-06-03,159.0,160.5,159.0,160.5,32020.341,None
2016-06-04,160.0,160.0,159.5,160.0,2631.269,None
2016-06-06,161.0,162.0,160.0,161.0,28898.951,None
2016-06-07,161.5,163.5,161.0,162.0,47573.77,None
2016-06-08,164.0,166.0,163.5,165.5,45587.946,None
2016-06-13,161.0,162.5,161.0,162.0,54689.228,None
2016-06-14,161.0,163.0,161.0,162.0,27823.266,None
2016-06-15,162.0,163.0,161.0,163.0,29328.888,None
2016-06-16,161.5,162.5,159.5,160.5,36957.34,None
2016-06-17,162.5,164.5,162.0,163.0,31326.264,None
2016-06-20,164.5,165.0,163.0,163.0,24949.407,None
2016-06-21,164.0,165.5,163.5,165.5,28042.486,None
2016-06-22,164.5,166.0,163.5,166.0,30409.069,None
2016-06-23,165.5,166.0,164.0,164.0,22592.551,None
2016-06-24,164.0,164.0,154.5,159.0,86994.06,None
2016-06-27,154.5,156.0,154.0,155.5,43401.75,None
2016-06-28,155.5,157.5,155.0,157.0,39095.886,None
2016-06-29,158.5,160.0,158.0,159.0,32131.574,None
2016-06-30,161.0,163.0,159.5,162.5,42854.433,None
2016-07-01,164.5,166.0,163.5,166.0,36577.822,None
2016-07-04,165.5,166.5,164.5,166.0,25968.655,None
2016-07-05,165.0,165.5,164.0,164.0,16422.882,None
2016-07-06,163.0,163.0,160.5,161.5,35100.107,None
2016-07-07,163.5,165.0,163.0,164.5,24442.273,None
2016-07-11,170.0,170.5,168.5,170.0,53434.92,None
2016-07-12,171.0,171.5,169.5,171.0,42128.936,None
2016-07-13,169.5,170.0,167.0,168.5,51719.99,None
2016-07-14,167.0,170.0,167.0,169.0,36131.819,None
2016-07-15,168.0,169.5,166.5,169.5,41822.109,None
2016-07-18,168.0,170.0,168.0,169.5,24774.059,None
2016-07-19,170.5,170.5,169.0,170.5,43707.37,None
2016-07-20,170.0,170.5,169.0,170.0,39076.857,None
2016-07-21,171.0,172.0,170.0,172.0,35220.658,None
2016-07-22,172.0,172.0,170.5,171.0,29804.436,None
2016-07-25,172.0,173.0,169.0,171.5,27180.811,None
2016-07-26,172.0,173.0,171.5,173.0,32736.383,None
2016-07-27,175.0,176.0,174.5,175.0,36108.136,None
2016-07-28,175.0,176.5,173.0,176.5,31138.296,None
2016-07-29,177.0,177.0,172.5,172.5,30008.528,Bearish Engulfing
2016-08-01,175.0,177.0,174.5,177.0,34703.892,None
2016-08-02,177.5,177.5,175.5,176.0,15366.106,None
2016-08-03,172.5,174.0,172.0,172.5,21652.236,None
2016-08-04,173.0,174.5,172.5,174.5,14292.159,None
2016-08-05,175.0,177.5,174.0,177.0,25803.777,None
2016-08-08,178.0,178.0,176.5,178.0,16241.757,None
2016-08-09,178.5,179.5,177.0,178.5,16443.465,None
2016-08-10,179.0,179.5,178.0,179.5,19307.662,None
2016-08-11,177.5,178.0,175.5,176.5,28216.223,None
2016-08-12,178.5,178.5,177.0,177.5,23986.752,None
2016-08-15,178.5,179.0,177.5,179.0,13660.192,None
2016-08-16,178.0,179.0,175.0,175.5,34284.274,None
2016-08-17,177.0,177.5,176.0,177.0,24169.622,None
2016-08-18,176.0,176.5,175.0,176.0,27899.726,None
2016-08-19,177.0,177.5,174.0,174.5,23496.71,Dark Cloud Cover
2016-08-22,173.0,174.0,171.5,173.0,21822.066,None
2016-08-23,174.0,175.0,173.5,174.0,21467.596,None
2016-08-24,175.0,175.5,173.5,173.5,12532.486,None
2016-08-25,175.0,177.0,174.5,177.0,23973.648,None
2016-08-26,175.0,177.0,175.0,177.0,15804.932,None
2016-08-29,175.0,177.0,174.0,176.5,16967.254,None
2016-08-30,176.0,176.5,174.0,174.5,19752.234,None
2016-08-31,176.5,177.0,174.5,176.0,42461.245,None
2016-09-01,176.0,176.0,173.0,173.5,26101.335,None
2016-09-02,176.5,176.5,174.0,174.5,19489.13,Dark Cloud Cover
2016-09-05,176.5,177.5,176.5,176.5,27982.906,None
2016-09-06,177.0,179.0,176.5,179.0,29646.892,None
2016-09-07,180.5,185.0,180.0,184.0,50851.477,None
2016-09-08,182.5,184.5,182.5,183.0,30307.949,Descending Hawk
2016-09-09,181.0,181.0,179.5,179.5,30635.512,None
2016-09-10,177.0,179.0,176.0,178.0,15470.223,None
2016-09-12,177.5,177.5,174.0,175.0,42751.708,None
2016-09-13,176.5,176.5,173.5,175.0,38438.582,None
2016-09-14,174.0,176.0,173.5,173.5,52966.216,None
2016-09-19,179.5,183.0,178.5,182.5,57296.972,None
2016-09-20,182.0,183.5,181.5,183.0,23647.416,None
2016-09-21,181.0,184.0,180.5,184.0,26261.794,Piercing Line
2016-09-22,185.0,185.5,183.5,185.5,21213.26,None
2016-09-23,185.0,187.5,184.5,187.5,23141.189,None
2016-09-26,183.5,185.0,183.0,183.0,25218.996,None
2016-09-29,185.5,187.5,185.5,185.5,57778.769,None
2016-09-30,185.5,186.5,182.5,182.5,45163.412,None
2016-10-03,186.0,186.5,184.5,186.0,18987.856,None
2016-10-04,185.0,187.0,185.0,187.0,17139.682,None
2016-10-05,186.0,186.0,184.5,186.0,19144.379,None
2016-10-06,185.0,187.5,185.0,187.5,15715.729,None
2016-10-07,188.0,188.0,186.0,188.0,15870.415,None
2016-10-11,191.0,191.0,186.0,187.5,31107.793,Dark Cloud Cover
2016-10-12,186.5,190.0,186.0,189.5,24592.212,None
2016-10-13,190.5,191.0,187.0,188.5,40728.212,None
2016-10-14,187.0,189.0,186.5,188.0,34340.209,None
