Date,Open,High,Low,Close,Volume
2013-01-02,97.6,99.9,97.1,99.6,40647.121
2013-01-03,100.5,102.0,100.0,101.0,44335.846
2013-01-04,100.5,101.5,100.0,101.5,39502.577
2013-01-07,101.0,101.0,99.1,100.5,42328.657
2013-01-08,99.6,100.0,98.9,99.7,31218.717
2013-01-09,100.5,100.5,99.2,100.0,26417.262
2013-01-10,99.9,101.0,99.5,101.0,41234.333
2013-01-11,101.5,101.5,100.5,101.0,22993.851
2013-01-14,101.0,102.0,100.0,102.0,23575.867
2013-01-15,102.0,102.0,99.8,100.5,36015.126
2013-01-16,100.5,100.5,99.2,99.2,35496.359
2013-01-17,100.5,101.0,98.5,99.3,40526.293
2013-01-18,101.5,101.5,100.5,101.5,49874.215
2013-01-21,101.0,101.0,100.0,100.5,17310.236
2013-01-22,101.0,101.0,99.9,101.0,21946.618
2013-01-23,101.5,101.5,100.0,101.0,30821.432
2013-01-24,100.0,100.5,99.2,99.9,40653.209
2013-01-25,99.9,99.9,98.0,99.0,48674.849
2013-01-28,98.7,99.5,98.6,99.3,29190.978
2013-01-29,100.0,101.5,99.7,101.0,36060.537
2013-01-30,102.0,102.0,100.5,101.5,28862.623
2013-01-31,100.5,101.5,100.0,101.5,42489.565
2013-02-01,101.5,101.5,100.5,101.5,23211.035
2013-02-04,102.0,103.0,102.0,103.0,35257.079
2013-02-05,103.0,103.0,101.5,103.0,17896.471
2013-02-06,103.5,105.0,103.0,105.0,32330.33
2013-02-18,107.0,108.5,106.5,107.0,64345.58
2013-02-19,108.5,108.5,106.5,107.0,22103.657
2013-02-20,108.5,109.5,108.0,109.0,41921.556
2013-02-21,108.5,108.5,107.0,107.0,30551.806
2013-02-22,106.0,106.5,105.0,105.5,39577.666
2013-02-23,106.5,107.5,106.0,107.0,10174.533
2013-02-25,106.5,107.0,105.0,105.0,37216.683
2013-02-26,103.5,105.0,102.5,103.5,38498.61
2013-02-27,102.0,104.5,101.0,104.5,81358.059
2013-03-01,103.0,105.0,102.5,105.0,35081.17
2013-03-04,104.5,104.5,101.5,102.0,55265.946
2013-03-05,103.5,104.0,102.5,104.0,56213.527
2013-03-06,104.0,104.5,103.0,104.0,38026.322
2013-03-07,103.5,104.0,103.0,103.0,20783.572
2013-03-08,103.0,104.5,102.0,103.5,46036.003
2013-03-11,102.0,104.0,102.0,102.0,36093.271
2013-03-12,102.0,103.0,101.5,102.5,30064.912
2013-03-13,102.5,105.0,102.0,104.5,57955.306
2013-03-14,104.0,104.5,103.0,104.0,33067.465
2013-03-15,105.0,105.0,103.0,103.0,35632.988
2013-03-18,102.0,102.0,100.5,100.5,44188.807
2013-03-19,101.0,101.5,99.6,100.0,50765.167
2013-03-20,99.5,99.5,98.8,98.8,64024.225
2013-03-21,98.8,100.5,98.7,98.7,58467.748
2013-03-22,98.6,99.1,98.0,98.0,44937.03
2013-03-25,99.9,100.5,99.2,99.5,25469.505
2013-03-26,99.2,99.4,98.8,99.0,27220.058
2013-03-27,99.0,100.5,98.8,100.5,29969.023
2013-03-28,100.0,100.5,99.3,100.0,29558.31
2013-03-29,100.0,101.0,99.8,100.5,19003.253
2013-04-01,101.0,102.0,100.5,101.0,16374.716
2013-04-02,100.5,101.0,99.8,100.5,22334.113
2013-04-03,101.5,101.5,100.0,100.5,27097.381
2013-04-08,99.0,99.5,98.5,98.5,58367.917
2013-04-09,98.0,98.5,97.5,97.5,41316.418
2013-04-10,98.8,98.8,97.7,98.3,36746.778
2013-04-11,99.0,101.5,98.8,101.5,57867.486
2013-04-12,101.5,101.5,100.0,100.5,19568.004
2013-04-15,100.5,101.0,99.1,99.4,23440.616
