Date,Open,High,Low,Close,Volume
2016-01-04,142.5,143.5,139.0,139.5,43800.291
2016-01-05,139.0,140.0,137.0,138.0,46502.108
2016-01-06,138.0,138.0,135.0,135.5,53873.344
2016-01-07,134.5,135.0,130.5,133.0,63475.065
2016-01-08,132.0,135.0,132.0,134.0,52641.383
2016-01-11,133.0,134.5,130.5,133.0,48536.267
2016-01-12,133.0,134.0,131.5,133.0,35133.164
2016-01-13,133.5,135.5,133.0,133.5,50237.061
2016-01-14,130.5,132.0,130.5,131.5,39498.49
2016-01-15,137.5,138.0,135.5,137.0,79648.971
2016-01-18,135.0,138.0,134.5,137.0,37008.681
2016-01-19,137.5,138.0,136.0,138.0,24995.537
2016-01-20,137.5,137.5,133.5,134.5,44423.192
2016-01-21,134.0,136.5,134.0,135.0,31957.378
2016-01-22,136.5,138.5,136.0,138.5,33926.219
2016-01-25,140.0,140.0,139.0,139.5,27213.347
2016-01-26,137.5,139.0,137.0,137.5,24102.538
2016-01-27,139.0,139.5,138.5,139.5,24547.614
2016-01-28,138.0,140.5,138.0,140.0,37913.413
2016-01-29,138.5,143.0,138.0,143.0,57557.576
2016-01-30,142.5,143.0,141.0,142.0,11865.065
2016-02-01,144.0,144.0,141.5,144.0,43828.461
2016-02-02,144.0,144.5,141.5,142.5,25400.755
2016-02-03,145.0,146.0,144.5,146.0,71652.894
2016-02-15,142.0,146.5,142.0,145.0,77064.578
2016-02-16,146.0,148.0,145.5,147.5,56361.967
2016-02-17,149.0,149.0,147.0,148.0,38486.773
2016-02-18,150.0,151.0,149.5,151.0,61877.408
2016-02-19,149.0,151.0,149.0,151.0,37444.703
2016-02-22,149.5,152.5,149.5,151.0,29751.439
2016-02-23,150.5,151.0,149.0,149.5,22500.491
2016-02-24,149.5,150.5,147.0,148.0,22082.824
2016-02-25,149.0,151.0,148.5,150.5,25233.069
2016-02-26,151.0,151.5,148.0,149.0,46425.984
2016-03-01,148.5,152.0,148.5,152.0,44046.047
2016-03-02,154.0,154.5,153.0,153.0,36101.65
