Date,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,外資買進股數,外資賣出股數,外資買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),本益比,股價淨值比,殖利率
20150105,2330,台積電,"32,214,177","9,377","4,459,516,134",140.5,140.5,137.5,139.5,-,1.5,"18,957,906","15,272,571","3,685,335",0,"752,000","-752,000","545,000",,,"3,478,335","347,000","525,000","-178,000","907,000","184,000","723,000",15.82,3.78,2.14
20150106,2330,台積電,"67,649,997","26,240","9,104,346,055",137.5,137.5,133,133.5,-,6,"12,723,462","49,800,543","-37,077,081","45,000","1,257,000","-1,212,000","3,307,000",,,"-34,982,081","2,705,000","254,000","2,451,000","1,035,000","179,000","856,000",15.14,3.62,2.24
20150107,2330,台積電,"43,886,007","14,735","5,887,797,145",133.5,135,133.5,134,+,0.5,"26,695,305","25,170,656","1,524,649","538,000","1,879,000","-1,341,000","1,386,000",,,"1,569,649","1,025,000","85,000","940,000","648,000","202,000","446,000",15.19,3.63,2.23
20150108,2330,台積電,"42,551,468","12,327","5,839,710,584",136.5,138,136,138,+,4,"26,602,770","18,806,147","7,796,623","143,000","57,000","86,000","-624,000",,,"7,258,623","50,000","283,000","-233,000","242,000","633,000","-391,000",15.65,3.74,2.17
20150109,2330,台積電,"61,920,268","24,470","8,308,394,250",135,135.5,133,134,-,4,"13,413,000","45,439,292","-32,026,292","55,000","1,550,000","-1,495,000","-13,000",,,"-33,534,292","1,382,000","2,758,000","-1,376,000","1,687,000","324,000","1,363,000",15.19,3.63,2.23
20150112,2330,台積電,"30,402,705","11,823","4,031,933,265",132.5,133.5,132,132,-,2,"7,498,013","17,857,639","-10,359,626","101,000","2,848,000","-2,747,000","298,000",,,"-12,808,626","419,000","248,000","171,000","347,000","220,000","127,000",14.97,3.58,2.27
20150113,2330,台積電,"38,093,830","12,537","5,032,758,490",131,133,130.5,132.5,+,0.5,"19,287,435","27,365,981","-8,078,546","48,000","631,000","-583,000","559,000",,,"-8,102,546","520,000","60,000","460,000","173,000","74,000","99,000",15.02,3.59,2.26
20150114,2330,台積電,"49,447,397","18,536","6,480,574,787",132.5,133,130,130,-,2.5,"17,065,000","41,858,520","-24,793,520","37,000","450,000","-413,000","-350,000",,,"-25,556,520","511,000","272,000","239,000","208,000","797,000","-589,000",14.74,3.52,2.3
20150115,2330,台積電,"40,996,781","10,987","5,409,019,683",131.5,133,131.5,131.5,+,1.5,"26,074,000","25,996,729","77,271","703,000","1,198,000","-495,000","622,000",,,"204,271","637,000","416,000","221,000","622,000","221,000","401,000",14.91,3.56,2.27
20150116,2330,台積電,"129,035,714","33,344","17,798,427,458",140,140,136,137,+,5.5,"83,994,739","71,195,656","12,799,083","4,464,000","61,000","4,403,000","843,916",,,"18,045,999","1,905,000","1,931,000","-26,000","1,405,000","535,084","869,916",15.53,3.71,2.18
20150119,2330,台積電,"50,175,501","15,694","6,946,057,848",138.5,139.5,137.5,139,+,2,"43,445,000","14,349,900","29,095,100","541,000","432,000","109,000","-3,354,000",,,"25,850,100","307,000","1,682,000","-1,375,000","103,000","2,082,000","-1,979,000",15.76,3.77,2.15
20150120,2330,台積電,"33,795,629","10,489","4,668,853,302",139,139,137.5,138,-,1,"22,769,000","12,685,785","10,083,215","522,000","90,000","432,000","261,000",,,"10,776,215","440,000","135,000","305,000","173,000","217,000","-44,000",15.65,3.74,2.17
20150121,2330,台積電,"77,292,890","22,304","10,851,391,010",139.5,141,139.5,141,+,3,"69,681,910","15,804,166","53,877,744","119,000","260,000","-141,000","-1,456,000",,,"52,280,744","155,000","558,000","-403,000","179,000","1,232,000","-1,053,000",15.99,3.82,2.12
20150122,2330,台積電,"45,654,028","12,880","6,420,329,920",141.5,142,139.5,140,-,1,"35,197,739","17,730,546","17,467,193","420,000","519,000","-99,000","-55,000",,,"17,313,193","425,000","57,000","368,000","113,000","536,000","-423,000",15.87,3.8,2.14
20150123,2330,台積電,"82,359,856","24,817","11,860,880,764",142.5,145,142.5,145,+,5,"67,624,322","14,238,889","53,385,433","737,000","63,000","674,000","-412,000",,,"53,647,433","633,000","619,000","14,000","191,000","617,000","-426,000",16.44,3.93,2.06
20150126,2330,台積電,"46,941,337","12,366","6,773,046,328",145.5,145.5,143.5,145, ,0,"41,700,000","18,976,083","22,723,917","295,000","82,000","213,000","-257,000",,,"22,679,917","356,000","189,000","167,000","16,000","440,000","-424,000",16.44,3.93,2.06
20150127,2330,台積電,"53,362,680","13,505","7,766,942,038",145.5,147,144.5,147,+,2,"48,076,544","15,298,958","32,777,586","214,000","342,000","-128,000","-310,000",,,"32,339,586","200,000","199,000","1,000","137,000","448,000","-311,000",16.67,3.98,2.03
20150128,2330,台積電,"48,373,268","13,048","7,070,390,708",146.5,147,145.5,146.5,-,0.5,"42,778,050","23,471,124","19,306,926","200,000","162,000","38,000","-3,000",,,"19,341,926","158,000","53,000","105,000","127,000","235,000","-108,000",16.61,3.97,2.04
20150129,2330,台積電,"36,887,636","10,970","5,304,459,221",144,145,143,143.5,-,3,"21,621,000","23,133,754","-1,512,754","220,000","964,791","-744,791","95,000",,,"-2,162,545","1,120,000","1,163,000","-43,000","532,000","394,000","138,000",16.27,3.89,2.08
20150130,2330,台積電,"44,413,182","12,509","6,309,920,080",145,145.5,141,141,-,2.5,"26,886,000","37,055,677","-10,169,677","280,000","693,000","-413,000","1,356,000",,,"-9,226,677","1,165,000","31,000","1,134,000","372,000","150,000","222,000",15.99,3.82,2.12
20150202,2330,台積電,"30,382,755","7,265","4,310,814,470",140.5,143,140.5,142.5,+,1.5,"24,971,303","20,017,780","4,953,523","127,000","413,000","-286,000","350,000",,,"5,017,523","362,000","60,000","302,000","170,000","122,000","48,000",16.16,3.86,2.1
