﻿Date,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,本益比,股價淨值比,殖利率,股利年度
20210104,2330,台積電,"39,489,959","33,316","21,127,581,248",530,540,528,536,+,6,"23,470,657","11,007,351","12,463,306",0,0,0,"132,110","165,000","-32,890","865,012","1,478,000","526,988","951,012","61,000","147,000","-86,000","13,295,428",28.3,7.78,1.77,108
20210105,2330,台積電,"34,839,391","28,512","18,761,831,567",536,542,535,542,+,6,"21,259,474","18,243,070","3,016,404",0,0,0,"233,430","55,000","178,430","-450,512","557,000","729,512","-172,512","31,000","309,000","-278,000","2,744,322",28.62,7.86,1.75,108
20210106,2330,台積電,"55,614,434","55,462","30,572,783,229",555,555,541,549,+,7,"27,716,986","22,567,319","5,149,667",0,0,0,"181,000","76,000","105,000","-4,162,805","704,000","4,219,500","-3,515,500","107,000","754,305","-647,305","1,091,862",28.99,7.96,1.73,108
20210107,2330,台積電,"53,392,763","47,905","30,018,630,685",554,570,553,565,+,16,"24,724,694","23,225,315","1,499,379",0,0,0,"206,960","282,000","-75,040","2,060,204","2,159,000","220,250","1,938,750","262,000","140,546","121,454","3,484,543",29.83,8.2,1.68,108
20210108,2330,台積電,"62,957,148","56,426","36,339,702,855",580,580,571,580,+,15,"31,558,099","31,244,858","313,241",0,0,0,"368,630","181,000","187,630","1,175,881","873,000","315,862","557,138","720,000","101,257","618,743","1,676,752",30.62,8.41,1.64,108
20210111,2330,台積電,"52,771,778","49,539","30,535,694,908",577,584,574,584,+,4,"24,509,451","31,676,405","-7,166,954",0,0,0,"984,000","633,000","351,000","-432,925","726,000","1,105,842","-379,842","298,000","351,083","-53,083","-7,248,879",30.83,8.47,1.63,108
20210112,2330,台積電,"52,605,212","59,595","30,958,142,918",583,597,582,591,+,7,"17,582,889","26,215,909","-8,633,020",0,0,0,"2,484,000","320,000","2,164,000","766,041","1,281,000","746,948","534,052","558,000","326,011","231,989","-5,702,979",31.2,8.57,1.61,108
20210113,2330,台積電,"75,707,681","59,966","45,419,255,149",595,605,593,605,+,14,"43,111,056","50,404,601","-7,293,545",0,0,0,"254,000","514,599","-260,599","1,951,223","1,672,000","145,764","1,526,236","560,000","135,013","424,987","-5,602,921",31.94,8.78,1.57,108
20210114,2330,台積電,"90,309,708","111,849","53,477,747,672",587,597,587,592,-,13,"29,812,664","61,064,697","-31,252,033",0,0,0,"480,000","2,323,000","-1,843,000","-44,783","685,000","842,783","-157,783","343,000","230,000","113,000","-33,139,816",31.26,8.59,1.6,108
20210115,2330,台積電,"100,998,199","105,961","61,876,473,170",621,625,601,601,+,9,"49,815,093","41,645,018","8,170,075",0,0,0,"229,500","209,000","20,500","411,324","1,072,000","814,175","257,825","684,000","530,501","153,499","8,601,899",31.73,8.72,1.58,108
20210118,2330,台積電,"50,388,664","49,008","30,406,611,574",608,608,594,607,+,6,"21,751,751","24,496,257","-2,744,506",0,0,0,"1,110,500","442,000","668,500","519,039","547,000","274,961","272,039","685,000","438,000","247,000","-1,556,967",32.05,8.81,1.57,108
20210119,2330,台積電,"52,947,466","55,490","32,934,404,720",618,632,613,627,+,20,"23,261,026","18,048,877","5,212,149",0,0,0,"158,000","264,000","-106,000","1,084,271","993,994","575,249","418,745","784,995","119,469","665,526","6,190,420",33.1,9.1,1.52,108
20210120,2330,台積電,"95,484,470","95,577","61,279,319,857",633,650,631,647,+,20,"48,521,812","53,977,020","-5,455,208",0,0,0,"292,000","482,219","-190,219","-651,772","943,000","766,777","176,223","339,005","1,167,000","-827,995","-6,297,199",34.16,9.39,1.47,108
20210121,2330,台積電,"97,590,371","115,004","64,624,578,866",640,679,640,673,+,26,"30,692,276","48,606,881","-17,914,605",0,0,0,"553,000","1,922,000","-1,369,000","1,379,690","1,557,000","878,425","678,575","1,209,000","507,885","701,115","-17,903,915",35.53,9.76,1.41,108
20210122,2330,台積電,"134,238,314","235,186","88,023,707,664",649,665,649,649,-,24,"20,293,027","81,376,781","-61,083,754",0,0,0,"2,044,000","588,000","1,456,000","2,075,060","2,387,000","1,705,940","681,060","1,937,000","543,000","1,394,000","-57,552,694",34.27,9.42,1.46,108
