Date,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,外資買進股數,外資賣出股數,外資買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),本益比,股價淨值比,殖利率,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,股利年度
20170928,2330,台積電,"31,616,062","7,749","6,788,534,834",215,216,213.5,214,-,1,"18,470,671","28,049,368","-9,578,697",0,"513,000","-513,000","1,012,000",,,"-9,079,697","387,000","236,000","151,000","866,000","5,000","861,000",15.82,4.14,3.27,,,,,,,
20170929,2330,台積電,"23,954,708","7,507","5,184,362,760",216,217.5,215.5,216.5,+,2.5,"22,490,754","13,500,021","8,990,733","90,000","259,000","-169,000","-1,779,000",,,"7,042,733","138,000","1,366,000","-1,228,000","23,000","574,000","-551,000",16,4.18,3.23,,,,,,,
20170930,2330,台積電,"4,254,045","2,446","924,823,765",218,218.5,216.5,216.5, ,0,"126,000","1,000","125,000","135,000","195,000","-60,000","9,000",,,"74,000","158,000",0,"158,000","154,000","303,000","-149,000",16,4.18,3.23,,,,,,,
20171002,2330,台積電,"28,360,551","10,605","6,233,064,680",219.5,220.5,218.5,220.5,+,4,"16,421,040","9,503,500","6,917,540","70,000","133,000","-63,000","-88,000",,,"6,766,540","205,000","312,000","-107,000","66,000","47,000","19,000",16.3,4.26,3.17,,,,,,,
20171003,2330,台積電,"38,330,938","12,703","8,497,244,691",219,223,219,222.5,+,2,"18,703,760","14,791,000","3,912,760","298,110","485,000","-186,890","-1,383,000",,,"2,342,870","243,000","835,000","-592,000","11,000","802,000","-791,000",16.44,4.3,3.15,,,,,,,
20171005,2330,台積電,"25,397,939","8,601","5,691,251,336",222,225.5,222,224.5,+,2,"15,806,407","11,156,938","4,649,469","15,000","81,000","-66,000","-623,000",,,"3,960,469","74,000","398,000","-324,000","20,000","319,000","-299,000",16.59,4.34,3.12,,,,,,,
20171006,2330,台積電,"16,040,516","7,612","3,604,683,862",225,225.5,223.5,224.5, ,0,"8,490,662","6,225,328","2,265,334","31,000","397,000","-366,000","-348,000",,,"1,551,334","119,000","54,000","65,000","2,000","415,000","-413,000",16.59,4.34,3.12,,,,,,,
20171011,2330,台積電,"67,649,562","20,879","15,633,206,754",226.5,233.5,226.5,233,+,8.5,"49,130,859","33,021,556","16,109,303","126,000","131,000","-5,000","-2,249,000",,,"13,855,303","481,000","1,253,000","-772,000","302,000","1,779,000","-1,477,000",17.22,4.5,3,,,,,,,
20171012,2330,台積電,"44,176,186","16,490","10,450,920,432",235,237.5,234.5,237.5,+,4.5,"34,956,278","19,026,432","15,929,846","215,000","625,000","-410,000","-982,000",,,"14,537,846","220,000","376,000","-156,000","352,000","1,178,000","-826,000",17.55,4.59,2.95,,,,,,,
20171013,2330,台積電,"23,145,071","10,507","5,465,540,327",237.5,237.5,234.5,237.5, ,0,"15,743,730","12,984,248","2,759,482","80,000","319,000","-239,000","541,000",,,"3,061,482","746,000","63,000","683,000","312,000","454,000","-142,000",17.55,4.59,2.95,,,,,,,
20171016,2330,台積電,"20,673,072","6,764","4,906,963,355",237.5,238,236,238,+,0.5,"16,343,000","14,165,235","2,177,765","222,000","345,000","-123,000","375,000",,,"2,429,765","96,000","32,000","64,000","336,000","25,000","311,000",17.59,4.6,2.94,,,,,,,
20171017,2330,台積電,"17,652,304","6,336","4,171,891,244",238,238,235,235.5,-,2.5,"11,397,443","14,279,534","-2,882,091","124,000","319,000","-195,000","767,000",,,"-2,310,091","642,000","27,000","615,000","158,000","6,000","152,000",17.41,4.55,2.97,,,,,,,
20171018,2330,台積電,"28,970,850","10,330","6,901,364,183",239.5,239.5,237,237.5,+,2,"22,730,428","18,125,761","4,604,667","41,000","324,000","-283,000","1,993,000",,,"6,314,667","1,918,000","345,000","1,573,000","511,000","91,000","420,000",17.55,4.59,2.95,,,,,,,
20171019,2330,台積電,"23,481,776","9,033","5,636,769,464",239.5,241.5,239,239,+,1.5,"16,712,469","12,206,392","4,506,077","36,000","479,000","-443,000","128,000",,,"4,191,077","302,000","527,000","-225,000","421,000","68,000","353,000",17.66,4.62,2.93,,,,,,,
20171020,2330,台積電,"27,056,035","7,206","6,456,386,670",238,239.5,237.5,237.5,-,1.5,"18,390,928","17,553,631","837,297","295,000","128,000","167,000","415,000",,,"1,419,297","367,000","275,000","92,000","429,000","106,000","323,000",17.55,4.59,2.95,,,,,,,
20171023,2330,台積電,"15,959,559","6,686","3,820,927,681",239,240,238.5,239,+,1.5,"10,685,768","8,974,000","1,711,768","1,970,000","49,000","1,921,000","-288,000",,,"3,344,768","30,000","243,000","-213,000","83,000","158,000","-75,000",17.66,4.62,2.93,,,,,,,
20171024,2330,台積電,"16,100,570","6,034","3,842,463,252",240,240,238,238,-,1,"12,496,048","13,073,311","-577,263","124,000","374,000","-250,000","-90,000",,,"-917,263",0,"53,000","-53,000","88,000","125,000","-37,000",17.59,4.6,2.94,,,,,,,
20171025,2330,台積電,"17,205,187","5,808","4,099,505,436",238.5,239,237.5,238, ,0,"12,723,400","11,283,794","1,439,606","336,000","86,000","250,000","-76,000",,,"1,613,606","10,000","42,000","-32,000","1,000","45,000","-44,000",17.59,4.6,2.94,,,,,,,
20171026,2330,台積電,"12,959,717","4,947","3,069,618,429",237,238,236,236,-,2,"8,029,567","10,129,742","-2,100,175",0,"34,000","-34,000","-87,000",,,"-2,221,175","67,000","134,000","-67,000","58,000","78,000","-20,000",17.44,4.56,2.97,,,,,,,
20171027,2330,台積電,"18,040,541","5,715","4,304,460,160",237.5,240,237.5,239,+,3,"14,146,557","7,854,787","6,291,770","820,000","58,000","762,000","-426,000",,,"6,627,770","115,000","320,000","-205,000","89,000","310,000","-221,000",17.66,4.62,2.93,,,,,,,
20171030,2330,台積電,"30,241,990","10,609","7,358,619,170",242,245,241.5,243,+,4,"24,259,500","19,762,454","4,497,046","189,000","363,000","-174,000","-25,000",,,"4,298,046","447,000","77,000","370,000","45,000","440,000","-395,000",17.96,4.7,2.88,,,,,,,
20171031,2330,台積電,"22,582,013","8,176","5,497,062,659",243.5,245,241.5,243, ,0,"17,210,542","18,052,795","-842,253","152,000","283,000","-131,000","-795,000",,,"-1,768,253","211,000","921,000","-710,000","197,000","282,000","-85,000",17.96,4.7,2.88,,,,,,,
20171101,2330,台積電,"20,465,054","6,464","4,975,624,502",243.5,245,241.5,242.5,-,0.5,"8,733,881","13,579,135","-4,845,254","106,000","59,000","47,000","1,177,000",,,"-3,621,254","366,000","106,000","260,000","981,000","64,000","917,000",17.92,4.69,2.89,,,,,,,
20171102,2330,台積電,"16,309,342","5,912","3,940,181,714",242,242.5,240.5,241,-,1.5,"10,877,500","11,247,855","-370,355","17,000","272,848","-255,848","-430,000",,,"-1,056,203","36,000","568,000","-532,000","152,000","50,000","102,000",17.81,4.66,2.9,,,,,,,
20171103,2330,台積電,"18,327,682","5,621","4,386,122,470",240.5,241,238.5,239,-,2,"10,606,111","15,285,148","-4,679,037","19,000","83,000","-64,000","681,000",,,"-4,062,037","82,000","176,000","-94,000","793,000","18,000","775,000",17.66,4.62,2.93,,,,,,,
20171106,2330,台積電,"21,029,515","6,601","5,063,670,900",243.5,244,239,239.5,+,0.5,"15,687,918","14,773,100","914,818","18,000","7,000","11,000","-1,179,000",,,"-253,182","194,000","1,529,000","-1,335,000","416,000","260,000","156,000",17.7,4.63,2.92,,,,,,,
20171107,2330,台積電,"21,689,261","6,729","5,266,500,464",242,244,241.5,244,+,4.5,"18,869,380","8,926,999","9,942,381","234,000","27,000","207,000","-258,000",,,"9,891,381","110,000","94,000","16,000","71,000","345,000","-274,000",18.03,4.72,2.87,,,,,,,
20171108,2330,台積電,"14,579,103","4,610","3,536,455,029",243,243.5,242,242.5,-,1.5,"8,624,274","11,967,487","-3,343,213","82,000","42,000","40,000","568,000",,,"-2,735,213","591,000",0,"591,000","32,000","55,000","-23,000",17.92,4.69,2.89,,,,,,,
20171109,2330,台積電,"21,366,949","6,339","5,151,628,572",240.5,243,240,241,-,1.5,"14,903,010","16,726,724","-1,823,714","134,000","134,000",0,"172,000",,,"-1,651,714","317,000","235,000","82,000","113,000","23,000","90,000",17.81,4.66,2.9,,,,,,,
20171110,2330,台積電,"15,061,296","4,465","3,629,826,936",240,242,239.5,240.5,-,0.5,"11,532,500","11,246,571","285,929","155,000","28,000","127,000","-622,000",,,"-209,071","162,000","298,000","-136,000","68,000","554,000","-486,000",17.78,4.65,2.91,,,,,,,
20171113,2330,台積電,"12,087,858","4,288","2,904,559,294",240,241.5,239.5,239.5,-,1,"6,978,000","8,170,384","-1,192,384","56,000","32,000","24,000","-266,000",,,"-1,434,384","171,000","159,000","12,000","13,000","291,000","-278,000",17.7,4.63,2.92,,,,,,,
20171114,2330,台積電,"17,229,176","4,130","4,132,433,432",241,241,239,240,+,0.5,"12,515,000","14,347,296","-1,832,296","19,000","130,000","-111,000","216,000",,,"-1,727,296","77,000","29,000","48,000","182,000","14,000","168,000",18.09,4.35,2.92,,,,,,,
20171115,2330,台積電,"29,720,308","9,224","7,063,591,898",239,239.5,236,237.5,-,2.5,"15,227,000","25,215,528","-9,988,528","177,000","29,000","148,000","-672,000",,,"-10,512,528","133,000","616,000","-483,000","16,000","205,000","-189,000",17.9,4.3,2.95,,,,,,,
20171116,2330,台積電,"17,274,172","5,683","4,118,927,788",238,240,237.5,238,+,0.5,"14,600,085","9,716,929","4,883,156","93,000","165,000","-72,000","48,000",,,"4,859,156","75,000","48,000","27,000","50,000","29,000","21,000",17.94,4.31,2.94,,,,,,,
20171117,2330,台積電,"18,741,825","5,647","4,528,440,917",240.5,242.5,240.5,241.5,+,3.5,"16,856,342","12,194,921","4,661,421",0,"51,000","-51,000","494,000",,,"5,104,421","150,000","70,000","80,000","424,000","10,000","414,000",18.2,4.38,2.9,,,,,,,
20171120,2330,台積電,"19,811,271","5,935","4,744,311,377",241,241.5,238,238.5,-,3,"14,976,427","17,418,809","-2,442,382","5,000","1,000","4,000","116,000",,,"-2,322,382","67,000","46,000","21,000","120,000","25,000","95,000",17.97,4.32,2.94,,,,,,,
20171121,2330,台積電,"22,878,024","7,942","5,529,803,248",240,243,239.5,243,+,4.5,"20,366,569","16,847,583","3,518,986","63,000","66,000","-3,000","-12,000",,,"3,503,986","40,000","68,000","-28,000","54,000","38,000","16,000",18.31,4.4,2.88,,,,,,,
20171122,2330,台積電,"27,251,431","7,655","6,631,376,152",244.5,244.5,242,242,-,1,"23,866,694","21,006,264","2,860,430","153,000","139,000","14,000","-306,000",,,"2,568,430","100,000","377,000","-277,000","38,000","67,000","-29,000",18.24,4.39,2.89,,,,,,,
20171123,2330,台積電,"9,562,763","4,253","2,320,934,646",242,243.5,241.5,242.5,+,0.5,"7,620,870","7,839,381","-218,511","426,000","75,000","351,000","-145,000",,,"-12,511","10,000","98,000","-88,000",0,"57,000","-57,000",18.27,4.39,2.89,,,,,,,
20171124,2330,台積電,"11,404,453","3,910","2,777,319,771",242,244.5,241.5,244,+,1.5,"9,723,613","7,381,000","2,342,613","248,000","14,000","234,000","-385,000",,,"2,191,613","32,000","79,000","-47,000","16,000","354,000","-338,000",18.39,4.42,2.87,,,,,,,
20171127,2330,台積電,"32,247,327","14,743","7,696,717,391",240,240,237,237,-,7,"7,148,389","24,521,889","-17,373,500",0,"338,000","-338,000","-87,000",,,"-17,798,500","194,000","490,000","-296,000","223,000","14,000","209,000",17.86,4.3,2.95,,,,,,,
20171128,2330,台積電,"47,834,178","15,262","11,198,457,400",234.5,235,233,234,-,3,"15,738,700","40,364,074","-24,625,374","136,000","488,000","-352,000","1,472,000",,,"-23,505,374","593,000","113,000","480,000","1,009,000","17,000","992,000",17.63,4.24,2.99,,,,,,,
20171129,2330,台積電,"26,535,797","6,976","6,234,161,137",235,236,234.5,234.5,+,0.5,"13,063,133","22,883,979","-9,820,846","16,000","381,000","-365,000","352,000",,,"-9,833,846","21,000","150,000","-129,000","703,000","222,000","481,000",17.67,4.25,2.99,,,,,,,
20171130,2330,台積電,"112,262,770","21,352","25,539,072,296",226.5,230.5,226,226,-,8.5,"60,625,087","100,409,305","-39,784,218","43,000","639,000","-596,000","-95,000",,,"-40,475,218","968,000","714,000","254,000","307,000","656,000","-349,000",17.03,4.1,3.1,,,,,,,
20171201,2330,台積電,"38,356,265","17,632","8,830,392,980",228.5,233.5,227.5,231,+,5,"14,694,678","23,853,704","-9,159,026","290,000","161,000","129,000","-955,000",,,"-9,985,026","161,000","723,000","-562,000","51,000","444,000","-393,000",17.41,4.19,3.03,,,,,,,
20171204,2330,台積電,"22,939,032","7,763","5,347,622,547",232.5,234.5,231,234,+,3,"15,323,153","17,312,256","-1,989,103","214,000","189,000","25,000","-435,000",,,"-2,399,103","49,000","402,000","-353,000","204,000","286,000","-82,000",17.63,4.24,2.99,,,,,,,
20171205,2330,台積電,"30,189,765","11,202","6,938,661,754",231,231,228.5,229.5,-,4.5,"12,301,413","25,616,327","-13,314,914","126,000","220,000","-94,000","10,000",,,"-13,398,914","260,000","132,000","128,000","100,000","218,000","-118,000",17.29,4.16,3.05,,,,,,,
20171206,2330,台積電,"34,031,690","10,749","7,752,572,207",228,229.5,226.5,227,-,2.5,"11,578,328","27,453,406","-15,875,078","65,000","58,000","7,000","-468,000",,,"-16,336,078","223,000","446,000","-223,000","239,000","484,000","-245,000",17.11,4.11,3.08,,,,,,,
20171207,2330,台積電,"41,619,903","13,336","9,349,711,831",226.5,226.5,222.5,226.5,-,0.5,"16,461,310","31,943,911","-15,482,601","30,000","421,000","-391,000","143,000",,,"-15,730,601","606,000","435,000","171,000","387,000","415,000","-28,000",17.07,4.1,3.09,,,,,,,
20171208,2330,台積電,"38,183,260","9,485","8,678,808,540",231,231,224.5,227,+,0.5,"21,526,433","33,069,035","-11,542,602","4,000","181,000","-177,000","8,000",,,"-11,711,602","155,000","520,000","-365,000","428,000","55,000","373,000",17.11,4.11,3.08,,,,,,,
20171211,2330,台積電,"20,649,609","6,384","4,706,571,094",228.5,229,227,227.5,+,0.5,"13,283,371","16,331,595","-3,048,224","4,000","38,000","-34,000","151,000",,,"-2,931,224","71,000","306,000","-235,000","407,000","21,000","386,000",17.14,4.12,3.08,,,,,,,
20171212,2330,台積電,"28,188,584","6,210","6,399,536,562",229.5,229.5,225,227.5, ,0,"19,648,969","25,291,574","-5,642,605","61,000","22,000","39,000","-766,000",,,"-6,369,605","7,000","722,000","-715,000","108,000","159,000","-51,000",17.14,4.12,3.08,,,,,,,
20171213,2330,台積電,"19,619,331","6,108","4,454,578,768",227.5,228,226.5,227,-,0.5,"13,979,370","17,431,827","-3,452,457",0,"208,000","-208,000","168,000",,,"-3,492,457","33,000","278,000","-245,000","429,000","16,000","413,000",17.11,4.11,3.08,,,,,,,
20171214,2330,台積電,"17,263,313","6,689","3,956,456,249",228,230.5,227.5,230.5,+,3.5,"14,491,394","11,669,714","2,821,680","26,000","84,000","-58,000","527,000",,,"3,290,680","316,000","86,000","230,000","603,000","306,000","297,000",17.37,4.18,3.04,,,,,,,
20171215,2330,台積電,"42,725,779","7,602","9,781,791,170",228.5,230,226.5,230,-,0.5,"35,668,375","38,260,139","-2,591,764","473,000","202,000","271,000","-1,042,000",,,"-3,362,764","186,000","166,000","20,000","15,000","1,077,000","-1,062,000",17.33,4.17,3.04,,,,,,,
20171218,2330,台積電,"15,702,664","5,961","3,565,805,928",227,228,226.5,227,-,3,,,,0,"559,000","-559,000","149,000",,,"-5,413,302","79,000","22,000","57,000","105,000","13,000","92,000",17.11,4.11,3.08,"8,317,600","13,320,902","-5,003,302",0,0,0,105
20171219,2330,台積電,"25,899,129","7,609","5,844,605,314",226.5,228.5,224,225,-,2,,,,"33,000","1,912,000","-1,879,000","517,000",,,"-9,442,087","102,000","183,000","-81,000","602,000","4,000","598,000",16.96,4.08,3.11,"11,995,104","20,075,191","-8,080,087",0,0,0,105
20171220,2330,台積電,"34,514,333","10,336","7,748,610,375",225,225.5,223.5,224.5,-,0.5,,,,0,"858,000","-858,000","332,000",,,"-12,903,476","234,000","17,000","217,000","307,000","192,000","115,000",16.92,4.07,3.12,"18,780,874","31,158,350","-12,377,476",0,0,0,105
20171221,2330,台積電,"20,826,164","5,893","4,696,105,505",226.5,227,224.5,225,+,0.5,,,,0,"496,000","-496,000","-221,000",,,"-5,040,827","10,000","168,000","-158,000","35,000","98,000","-63,000",16.96,4.08,3.11,"13,111,335","17,435,162","-4,323,827",0,0,0,105
20171222,2330,台積電,"19,106,483","6,146","4,315,809,802",225,227.5,224,227.5,+,2.5,,,,"6,000","63,000","-57,000","-58,000",,,"492,223","28,000","83,000","-55,000","52,000","55,000","-3,000",17.14,4.12,3.08,"16,786,000","16,178,777","607,223",0,0,0,105
20171225,2330,台積電,"4,579,675","2,288","1,045,118,165",228,229.5,226.5,228.5,+,1,,,,"124,000","84,000","40,000","-9,000",,,"829,930","30,000","22,000","8,000","9,000","26,000","-17,000",17.22,4.14,3.06,"1,557,000","758,070","798,930",0,0,0,105
20171226,2330,台積電,"13,755,843","3,550","3,118,538,018",229,229,225,226,-,2.5,,,,"71,000","54,580","16,420","31,000",,,"-2,376,080","173,000","121,000","52,000","78,000","99,000","-21,000",17.03,4.1,3.1,"4,524,000","6,947,500","-2,423,500",0,0,0,105
20171227,2330,台積電,"12,515,245","5,717","2,820,168,625",225,226,225,225,-,1,,,,"12,000","447,000","-435,000","336,000",,,"-4,364,309","75,000","32,000","43,000","298,000","5,000","293,000",16.96,4.08,3.11,"6,300,012","10,565,321","-4,265,309",0,0,0,105
20171228,2330,台積電,"24,370,371","7,413","5,521,736,966",226.5,228,225,226,+,1,,,,"115,000","735,000","-620,000","278,000",,,"1,155,802","124,000","32,000","92,000","302,000","116,000","186,000",17.03,4.1,3.1,"18,188,709","16,690,907","1,497,802",0,0,0,105
20171229,2330,台積電,"25,610,443","8,325","5,861,624,377",227.5,230,226.5,229.5,+,3.5,,,,"297,000","35,000","262,000","-601,000",,,"7,015,407","682,000","657,000","25,000","64,000","690,000","-626,000",17.29,4.16,3.05,"17,475,170","10,120,763","7,354,407",0,0,0,105
