Date,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,本益比,股價淨值比,殖利率,股利年度
20180102,2330,台積電,"18,055,269","9,954","4,188,555,408",231.5,232.5,231,232.5,+,3,"14,095,108","4,487,684","9,607,424",0,0,0,"535,000","21,000","514,000","53,000","332,000","58,000","274,000","2,000","223,000","-221,000","10,174,424",17.52,4.21,3.01,105
20180103,2330,台積電,"31,706,091","13,633","7,504,382,512",236,238,235.5,237,+,4.5,"20,313,396","11,474,563","8,838,833",0,0,0,"1,104,000","189,000","915,000","467,000","632,000","186,000","446,000","264,000","243,000","21,000","10,220,833",17.86,4.3,2.95,105
20180104,2330,台積電,"29,179,613","10,953","6,963,192,636",240,240,236.5,239.5,+,2.5,"20,471,866","9,541,621","10,930,245",0,0,0,"95,000","48,000","47,000","-30,001","153,000","98,000","55,000","82,999","168,000","-85,001","10,947,244",18.05,4.34,2.92,105
20180105,2330,台積電,"23,721,255","8,659","5,681,934,695",240,240,238,240,+,0.5,"19,104,797","9,806,122","9,298,675",0,0,0,"136,000","113,000","23,000","-12,000","188,000","98,000","90,000","8,000","110,000","-102,000","9,309,675",18.09,4.35,2.92,105
20180108,2330,台積電,"21,846,692","10,251","5,281,823,362",242,242.5,240.5,242,+,2,"17,528,008","7,255,769","10,272,239",0,0,0,"161,000","13,000","148,000","45,000","46,000",0,"46,000","48,000","49,000","-1,000","10,465,239",18.24,4.39,2.89,105
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿Date,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,本益比,股價淨值比,殖利率,股利年度
20180109,2330,台積電,"19,043,123","7,124","4,588,314,012",242,242,239.5,242, ,0,"13,841,045","12,278,839","1,562,206",0,0,0,"430,000",0,"430,000","-51,000","117,000","152,000","-35,000","26,000","42,000","-16,000","1,941,206",18.24,4.39,2.89,105
20180110,2330,台積電,"25,716,220","10,534","6,118,683,273",241.5,242,236,236.5,-,5.5,"13,967,976","15,107,450","-1,139,474",0,0,0,"524,000","74,000","450,000","-116,000","574,000","924,000","-350,000","274,000","40,000","234,000","-805,474",17.82,4.29,2.96,105
20180111,2330,台積電,"32,070,338","9,199","7,500,674,455",235,236,232.5,235,-,1.5,"19,103,515","26,181,799","-7,078,284",0,0,0,"41,000","209,000","-168,000","253,000","287,000","240,000","47,000","250,000","44,000","206,000","-6,993,284",17.71,4.26,2.98,105
