DateTime,Date,Volume,Transaction,Value,Open,High,Low,Dir,Change,ForeignBuy,ForeignSell,ForeignNet,TrustBuy,TrustSell,TrustNet,DealerNet,DealerBuy,DealerSell,InvestorsNet,PE-Ratio,PBR,Yield,Close
2013-02-18,20130218,64345580,13470,6895059371,107.0,108.5,106.5,+,2.0,57660600.0,38638413.0,19022187.0,264000,910000,-646000,-2425000,641000.0,3066000.0,15951187,17.77,4.11,2.8,107.0
2013-02-19,20130219,22103657,6114,2372380213,108.5,108.5,106.5, ,0.0,16813000.0,12053866.0,4759134.0,320000,349000,-29000,-1105000,552000.0,1657000.0,3625134,17.77,4.11,2.8,107.0
2013-02-20,20130220,41921556,10171,4558604798,108.5,109.5,108.0,+,2.0,36414295.0,22776688.0,13637607.0,104000,560000,-456000,-1862000,597000.0,2459000.0,11319607,18.11,4.19,2.75,109.0
2013-02-21,20130221,30551806,7485,3287642271,108.5,108.5,107.0,-,2.0,26165042.0,24032974.0,2132068.0,0,1182000,-1182000,-926000,392000.0,1318000.0,24068,17.77,4.11,2.8,107.0
2013-02-22,20130222,39577666,10313,4188440636,106.0,106.5,105.0,-,1.5,22165000.0,35973961.0,-13808961.0,52000,161000,-109000,1505872,2355000.0,849128.0,-12412089,17.52,4.05,2.84,105.5
2013-02-23,20130223,10174533,3022,1083855709,106.5,107.5,106.0,+,1.5,4162000.0,26000.0,4136000.0,102000,771000,-669000,-592000,519000.0,1111000.0,2875000,17.77,4.11,2.8,107.0
2013-02-25,20130225,37216683,8564,3938987715,106.5,107.0,105.0,-,2.0,25151000.0,29236375.0,-4085375.0,500000,59000,441000,-369000,778000.0,1147000.0,-4013375,17.44,4.04,2.86,105.0
2013-02-26,20130226,38498610,9572,4006611594,103.5,105.0,102.5,-,1.5,19485000.0,28264665.0,-8779665.0,530000,491000,39000,136000,1048000.0,912000.0,-8604665,17.19,3.71,2.9,103.5
2013-02-27,20130227,81358059,13654,8385327394,102.0,104.5,101.0,+,1.0,36511958.0,63218367.0,-26706409.0,774000,1666000,-892000,1712000,2451000.0,739000.0,-25886409,16.3,3.75,2.87,104.5
2013-03-01,20130301,35081170,9263,3651664826,103.0,105.0,102.5,+,0.5,24173500.0,27303560.0,-3130060.0,0,1408000,-1408000,-191000,1118000.0,1309000.0,-4729060,16.38,3.76,2.86,105.0
2013-03-04,20130304,55265946,11896,5652060892,104.5,104.5,101.5,-,3.0,26640200.0,46764000.0,-20123800.0,0,2313050,-2313050,2538585,2732000.0,193415.0,-19898265,15.91,3.66,2.94,102.0
2013-03-05,20130305,56213527,9603,5798480893,103.5,104.0,102.5,+,2.0,46530666.0,43036674.0,3493992.0,825000,1852675,-1027675,-1411000,893000.0,2304000.0,1055317,16.22,3.73,2.88,104.0
2013-03-06,20130306,38026322,6844,3944092785,104.0,104.5,103.0, ,0.0,33701642.0,29780531.0,3921111.0,100000,782000,-682000,-746000,495000.0,1241000.0,2493111,16.22,3.73,2.88,104.0
2013-03-07,20130307,20783572,6812,2150594416,103.5,104.0,103.0,-,1.0,15121600.0,14218966.0,902634.0,40000,1100000,-1060000,-496000,498000.0,994000.0,-653366,16.07,3.69,2.91,103.0
2013-03-08,20130308,46036003,8598,4753123583,103.0,104.5,102.0,+,0.5,36098100.0,27388375.0,8709725.0,344000,3462000,-3118000,-1613000,769000.0,2382000.0,3978725,16.15,3.71,2.9,103.5
2013-03-11,20130311,36093271,9071,3706837142,102.0,104.0,102.0,-,1.5,20489000.0,27564113.0,-7075113.0,0,1616000,-1616000,-392000,1158000.0,1550000.0,-9083113,15.91,3.66,2.94,102.0
2013-03-12,20130312,30064912,6294,3075447024,102.0,103.0,101.5,+,0.5,21646385.0,18670062.0,2976323.0,40000,3137000,-3097000,-72000,556000.0,628000.0,-192677,15.99,3.67,2.93,102.5
2013-03-13,20130313,57955306,9978,6009069324,102.5,105.0,102.0,+,2.0,50713000.0,41194183.0,9518817.0,50000,1375000,-1325000,-2560001,513000.0,3073001.0,5633816,16.3,3.75,2.87,104.5
2013-03-14,20130314,33067465,7022,3435727588,104.0,104.5,103.0,-,0.5,22627800.0,26008336.0,-3380536.0,281000,617899,-336899,-2014000,329000.0,2343000.0,-5731435,16.22,3.73,2.88,104.0
2013-03-15,20130315,35632988,6030,3696617211,105.0,105.0,103.0,-,1.0,21338244.0,28450955.0,-7112711.0,4935000,119000,4816000,-1895000,562000.0,2457000.0,-4191711,16.07,3.69,2.91,103.0
2013-03-18,20130318,44188807,11128,4472705507,102.0,102.0,100.5,-,2.5,11971000.0,38735855.0,-26764855.0,239000,390000,-151000,431000,1513000.0,1082000.0,-26484855,15.68,3.6,2.99,100.5
