Date,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
20230411,2330,台積電,"23,087,326","24,432","12,101,146,147",522,527,522,524,-,5,"14,194,581","15,666,617","-1,472,036",0,0,0,"167,000","1,392,000","-1,225,000","635,400","395,000","62,000","333,000","400,197","97,797","302,400","-2,061,636"
20230412,2330,台積電,"24,772,925","37,158","12,870,788,209",523,524,517,520,-,4,"11,989,899","18,261,624","-6,271,725",0,0,0,"73,000","611,389","-538,389","342,207","510,000","145,700","364,300","114,265","136,358","-22,093","-6,467,907"
20230413,2330,台積電,"27,501,436","64,834","14,121,978,133",515,517,510,510,-,10,"11,216,813","20,506,381","-9,289,568",0,0,0,"203,000","357,000","-154,000","-202,765","29,000","126,677","-97,677","215,123","320,211","-105,088","-9,646,333"
20230414,2330,台積電,"21,174,653","19,962","10,936,462,759",516,520,513,516,+,6,"15,665,845","11,840,686","3,825,159",0,0,0,"111,000","280,000","-169,000","304,334","423,000","189,100","233,900","282,959","212,525","70,434","3,960,493"
20230417,2330,台積電,"17,895,837","17,444","9,264,789,087",519,520,514,520,+,4,"13,643,656","11,801,680","1,841,976",0,0,0,"235,000","84,000","151,000","-182,401","52,000","175,000","-123,000","53,082","112,483","-59,401","1,810,575"
