Date,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,外資買進股數,外資賣出股數,外資買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數,本益比,股價淨值比,殖利率,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商)
20141205,2330,台積電,"29,431,871","9,981","4,053,430,541",138.5,139.5,137,137.5,-,1.5,"16,985,928","24,425,028","-7,439,100","382,000","168,000","214,000","576,000",,,"-6,649,100",15.59,3.73,2.17,"255,000","85,000","170,000","454,000","48,000","406,000",,,
20141208,2330,台積電,"19,854,469","6,184","2,733,903,222",138,138.5,137,138,+,0.5,"14,681,000","13,640,837","1,040,163","44,000","1,299,000","-1,255,000","-461,000",,,"-675,837",15.65,3.74,2.17,"20,000","183,000","-163,000","30,000","328,000","-298,000",,,
20141209,2330,台積電,"31,926,886","6,676","4,410,027,018",138,139,137.5,138, ,0,"26,721,938","19,559,295","7,162,643","882,000","45,000","837,000","-61,000",,,"7,938,643",15.65,3.74,2.17,"22,000","90,000","-68,000","292,000","285,000","7,000",,,
20141210,2330,台積電,"39,845,261","10,748","5,453,042,098",138,139,136,136,-,2,"17,991,244","33,455,475","-15,464,231","517,000","173,000","344,000","-356,000",,,"-15,476,231",15.42,3.69,2.2,"316,000","754,000","-438,000","240,000","158,000","82,000",,,
20141211,2330,台積電,"41,669,260","9,443","5,634,712,500",135,136,134.5,134.5,-,1.5,"26,115,821","33,205,062","-7,089,241","111,000","505,251","-394,251","125,000",,,"-7,358,492",15.25,3.65,2.22,"203,000","143,000","60,000","237,000","172,000","65,000",,,
20141212,2330,台積電,"31,504,393","7,465","4,253,680,055",135,136,134.5,135,+,0.5,"17,615,697","28,258,431","-10,642,734",0,"111,000","-111,000","-132,000",,,"-10,885,734",15.31,3.66,2.21,"144,000","135,000","9,000","127,000","268,000","-141,000",,,
20141215,2330,台積電,"45,196,692","8,533","6,123,590,832",134.5,136.5,134.5,136,+,1,"35,015,712","23,579,940","11,435,772","100,000","84,000","16,000","-301,000",,,"11,150,772",15.42,3.69,2.2,"85,000","300,000","-215,000","40,000","126,000","-86,000",,,
20141216,2330,台積電,"41,273,420","10,345","5,519,760,280",134.5,135.5,133,133,-,3,"17,293,000","37,489,291","-20,196,291","45,000","996,000","-951,000","1,016,000",,,"-20,131,291",15.08,3.61,2.25,"564,000","13,000","551,000","570,000","105,000","465,000",,,
20141217,2330,台積電,"84,670,250","18,863","11,100,215,420",133,133,130,130.5,-,2.5,"40,447,000","78,420,663","-37,973,663","252,000","646,000","-394,000","211,000",,,"-38,156,663",14.8,3.54,2.29,"358,000","327,000","31,000","476,000","296,000","180,000",,,
20141218,2330,台積電,"51,896,344","11,210","6,846,354,408",132,133,131,131.5,+,1,"23,971,972","44,988,300","-21,016,328","253,000","121,000","132,000","1,080,000",,,"-19,804,328",14.91,3.56,2.27,"1,916,000","476,000","1,440,000","90,000","450,000","-360,000",,,
20141219,2330,台積電,"44,591,655","15,558","6,082,343,984",134.5,138,134,138,+,6.5,"30,947,904","13,822,489","17,125,415","1,065,000","587,000","478,000","-72,000",,,"17,531,415",15.65,3.74,2.17,"592,000","977,000","-385,000","1,047,000","734,000","313,000",,,
20141222,2330,台積電,"34,995,859","9,339","4,843,397,632",137.5,140,137,138.5,+,0.5,"26,502,000","13,520,442","12,981,558","263,000","49,000","214,000","-698,000",,,"12,497,558",15.7,3.75,2.16,"109,000","103,000","6,000","99,000","803,000","-704,000",,,
20141223,2330,台積電,"19,157,682","6,678","2,646,448,245",139,140,137,137.5,-,1,"11,065,000","9,693,500","1,371,500",0,"34,000","-34,000","-546,000",,,"791,500",15.59,3.73,2.17,"59,000","20,000","39,000","188,000","773,000","-585,000",,,
20141224,2330,台積電,"16,722,021","4,405","2,300,669,398",136,138,136,138,+,0.5,"10,283,000","7,102,000","3,181,000",0,"182,000","-182,000","-711,000",,,"2,288,000",15.65,3.74,2.17,"70,000","760,000","-690,000","34,000","55,000","-21,000",,,
20141225,2330,台積電,"7,392,192","1,860","1,015,532,329",137,138,137,137.5,-,0.5,"2,216,000","2,195,000","21,000",0,"572,000","-572,000","-291,000",,,"-842,000",15.59,3.73,2.17,"9,000","323,000","-314,000","105,000","82,000","23,000",,,
20141226,2330,台積電,"13,183,543","3,404","1,817,851,477",138,139,137,139,+,1.5,"8,518,000","1,394,000","7,124,000",0,"572,000","-572,000","18,000",,,"6,570,000",15.76,3.77,2.15,"68,000","40,000","28,000","27,000","37,000","-10,000",,,
20141227,2330,台積電,"4,823,202","1,195","666,171,960",139,139,137.5,138.5,-,0.5,"2,000","19,000","-17,000","35,000","15,000","20,000","95,000",,,"98,000",15.7,3.75,2.16,"39,000",0,"39,000","67,000","11,000","56,000",,,
20141229,2330,台積電,"35,075,381","11,085","4,920,594,840",138,141,138,141,+,2.5,"30,217,000","8,217,582","21,999,418","7,000","802,000","-795,000","-71,000",,,"21,133,418",15.99,3.82,2.12,"125,000","103,000","22,000","242,000","335,000","-93,000",,,
20141230,2330,台積電,"23,590,171","7,579","3,300,430,060",141,141.5,139,140,-,1,"15,242,478","12,811,505","2,430,973","481,000","475,000","6,000","500,000",,,"2,936,973",15.87,3.8,2.14,"260,000","13,000","247,000","293,000","40,000","253,000",,,
20141231,2330,台積電,"18,351,769","5,953","2,570,413,160",139,141,139,141,+,1,"12,855,000","7,774,400","5,080,600",0,"746,000","-746,000","-457,000",,,"3,877,600",15.99,3.82,2.12,"50,000","194,000","-144,000","67,000","380,000","-313,000",,,
20150105,2330,台積電,"32,214,177","9,377","4,459,516,134",140.5,140.5,137.5,139.5,-,1.5,"18,957,906","15,272,571","3,685,335",0,"752,000","-752,000","545,000",,,"3,478,335",15.82,3.78,2.14,"347,000","525,000","-178,000","907,000","184,000","723,000",,,
20150106,2330,台積電,"67,649,997","26,240","9,104,346,055",137.5,137.5,133,133.5,-,6,"12,723,462","49,800,543","-37,077,081","45,000","1,257,000","-1,212,000","3,307,000",,,"-34,982,081",15.14,3.62,2.24,"2,705,000","254,000","2,451,000","1,035,000","179,000","856,000",,,
20150107,2330,台積電,"43,886,007","14,735","5,887,797,145",133.5,135,133.5,134,+,0.5,"26,695,305","25,170,656","1,524,649","538,000","1,879,000","-1,341,000","1,386,000",,,"1,569,649",15.19,3.63,2.23,"1,025,000","85,000","940,000","648,000","202,000","446,000",,,
20150108,2330,台積電,"42,551,468","12,327","5,839,710,584",136.5,138,136,138,+,4,"26,602,770","18,806,147","7,796,623","143,000","57,000","86,000","-624,000",,,"7,258,623",15.65,3.74,2.17,"50,000","283,000","-233,000","242,000","633,000","-391,000",,,
20150109,2330,台積電,"61,920,268","24,470","8,308,394,250",135,135.5,133,134,-,4,"13,413,000","45,439,292","-32,026,292","55,000","1,550,000","-1,495,000","-13,000",,,"-33,534,292",15.19,3.63,2.23,"1,382,000","2,758,000","-1,376,000","1,687,000","324,000","1,363,000",,,
20150112,2330,台積電,"30,402,705","11,823","4,031,933,265",132.5,133.5,132,132,-,2,"7,498,013","17,857,639","-10,359,626","101,000","2,848,000","-2,747,000","298,000",,,"-12,808,626",14.97,3.58,2.27,"419,000","248,000","171,000","347,000","220,000","127,000",,,
20150113,2330,台積電,"38,093,830","12,537","5,032,758,490",131,133,130.5,132.5,+,0.5,"19,287,435","27,365,981","-8,078,546","48,000","631,000","-583,000","559,000",,,"-8,102,546",15.02,3.59,2.26,"520,000","60,000","460,000","173,000","74,000","99,000",,,
20150114,2330,台積電,"49,447,397","18,536","6,480,574,787",132.5,133,130,130,-,2.5,"17,065,000","41,858,520","-24,793,520","37,000","450,000","-413,000","-350,000",,,"-25,556,520",14.74,3.52,2.3,"511,000","272,000","239,000","208,000","797,000","-589,000",,,
20150115,2330,台積電,"40,996,781","10,987","5,409,019,683",131.5,133,131.5,131.5,+,1.5,"26,074,000","25,996,729","77,271","703,000","1,198,000","-495,000","622,000",,,"204,271",14.91,3.56,2.27,"637,000","416,000","221,000","622,000","221,000","401,000",,,
20150116,2330,台積電,"129,035,714","33,344","17,798,427,458",140,140,136,137,+,5.5,"83,994,739","71,195,656","12,799,083","4,464,000","61,000","4,403,000","843,916",,,"18,045,999",15.53,3.71,2.18,"1,905,000","1,931,000","-26,000","1,405,000","535,084","869,916",,,
20150119,2330,台積電,"50,175,501","15,694","6,946,057,848",138.5,139.5,137.5,139,+,2,"43,445,000","14,349,900","29,095,100","541,000","432,000","109,000","-3,354,000",,,"25,850,100",15.76,3.77,2.15,"307,000","1,682,000","-1,375,000","103,000","2,082,000","-1,979,000",,,
20150120,2330,台積電,"33,795,629","10,489","4,668,853,302",139,139,137.5,138,-,1,"22,769,000","12,685,785","10,083,215","522,000","90,000","432,000","261,000",,,"10,776,215",15.65,3.74,2.17,"440,000","135,000","305,000","173,000","217,000","-44,000",,,
20150121,2330,台積電,"77,292,890","22,304","10,851,391,010",139.5,141,139.5,141,+,3,"69,681,910","15,804,166","53,877,744","119,000","260,000","-141,000","-1,456,000",,,"52,280,744",15.99,3.82,2.12,"155,000","558,000","-403,000","179,000","1,232,000","-1,053,000",,,
20150122,2330,台積電,"45,654,028","12,880","6,420,329,920",141.5,142,139.5,140,-,1,"35,197,739","17,730,546","17,467,193","420,000","519,000","-99,000","-55,000",,,"17,313,193",15.87,3.8,2.14,"425,000","57,000","368,000","113,000","536,000","-423,000",,,
20150123,2330,台積電,"82,359,856","24,817","11,860,880,764",142.5,145,142.5,145,+,5,"67,624,322","14,238,889","53,385,433","737,000","63,000","674,000","-412,000",,,"53,647,433",16.44,3.93,2.06,"633,000","619,000","14,000","191,000","617,000","-426,000",,,
20150126,2330,台積電,"46,941,337","12,366","6,773,046,328",145.5,145.5,143.5,145, ,0,"41,700,000","18,976,083","22,723,917","295,000","82,000","213,000","-257,000",,,"22,679,917",16.44,3.93,2.06,"356,000","189,000","167,000","16,000","440,000","-424,000",,,
20150127,2330,台積電,"53,362,680","13,505","7,766,942,038",145.5,147,144.5,147,+,2,"48,076,544","15,298,958","32,777,586","214,000","342,000","-128,000","-310,000",,,"32,339,586",16.67,3.98,2.03,"200,000","199,000","1,000","137,000","448,000","-311,000",,,
20150128,2330,台積電,"48,373,268","13,048","7,070,390,708",146.5,147,145.5,146.5,-,0.5,"42,778,050","23,471,124","19,306,926","200,000","162,000","38,000","-3,000",,,"19,341,926",16.61,3.97,2.04,"158,000","53,000","105,000","127,000","235,000","-108,000",,,
20150129,2330,台積電,"36,887,636","10,970","5,304,459,221",144,145,143,143.5,-,3,"21,621,000","23,133,754","-1,512,754","220,000","964,791","-744,791","95,000",,,"-2,162,545",16.27,3.89,2.08,"1,120,000","1,163,000","-43,000","532,000","394,000","138,000",,,
20150130,2330,台積電,"44,413,182","12,509","6,309,920,080",145,145.5,141,141,-,2.5,"26,886,000","37,055,677","-10,169,677","280,000","693,000","-413,000","1,356,000",,,"-9,226,677",15.99,3.82,2.12,"1,165,000","31,000","1,134,000","372,000","150,000","222,000",,,
20150202,2330,台積電,"30,382,755","7,265","4,310,814,470",140.5,143,140.5,142.5,+,1.5,"24,971,303","20,017,780","4,953,523","127,000","413,000","-286,000","350,000",,,"5,017,523",16.16,3.86,2.1,"362,000","60,000","302,000","170,000","122,000","48,000",,,
20150203,2330,台積電,"27,234,908","7,438","3,911,596,752",143,144.5,142,144.5,+,2,"21,996,000","16,519,849","5,476,151","182,000","7,000","175,000","235,000",,,"5,886,151",16.38,3.92,2.07,"318,000","6,000","312,000","45,000","122,000","-77,000",,,
20150204,2330,台積電,"43,152,252","10,725","6,270,013,358",144.5,146.5,144,146,+,1.5,"35,166,315","27,694,283","7,472,032","62,000","124,000","-62,000","593,936",,,"8,003,968",16.55,3.96,2.05,"947,000","172,000","775,000","73,000","254,064","-181,064",,,
20150205,2330,台積電,"25,327,809","8,827","3,661,740,425",145.5,146,143.5,145.5,-,0.5,"14,608,000","20,198,308","-5,590,308","100,000","143,000","-43,000","304,937",,,"-5,328,371",16.5,3.94,2.05,"383,000","119,000","264,000","91,000","50,063","40,937",,,
20150206,2330,台積電,"28,668,194","10,068","4,131,250,622",145.5,145.5,143,143,-,2.5,"19,566,000","20,843,000","-1,277,000",0,"4,000","-4,000","426,000",,,"-855,000",16.21,3.88,2.09,"433,000","25,000","408,000","98,000","80,000","18,000",,,
20150209,2330,台積電,"26,650,627","7,095","3,790,983,534",143,143.5,141.5,142,-,1,"17,438,352","20,245,277","-2,806,925","54,000","177,000","-123,000","299,000",,,"-2,630,925",16.1,3.85,2.11,"290,000","59,000","231,000","107,000","39,000","68,000",,,
20150210,2330,台積電,"33,452,346","8,287","4,760,519,217",142,143,141.5,142.5,+,0.5,"28,614,303","26,898,373","1,715,930",0,"464,000","-464,000","315,000",,,"1,566,930",16.16,3.86,2.1,"399,000","46,000","353,000","109,000","147,000","-38,000",,,
20150211,2330,台積電,"71,429,251","21,683","10,550,756,946",146,149,146,148,+,5.5,"57,713,667","31,746,962","25,966,705","472,000","330,000","142,000","-921,000",,,"25,187,705",16.78,4.01,2.02,"366,000","1,606,000","-1,240,000","429,000","110,000","319,000",,,
20150212,2330,台積電,"35,027,816","10,815","5,193,362,537",149.5,149.5,147.5,148.5,+,0.5,"26,086,000","14,941,821","11,144,179",0,"702,000","-702,000","-919,000",,,"9,523,179",16.84,4.03,3.03,"160,000","321,000","-161,000","1,000","759,000","-758,000",,,
20150213,2330,台積電,"38,571,667","13,408","5,752,407,636",148.5,150,148,148.5, ,0,"27,348,400","16,638,982","10,709,418","489,000","279,000","210,000","-257,000",,,"10,662,418",16.84,4.03,3.03,"388,000","385,000","3,000","105,000","365,000","-260,000",,,
20150224,2330,台積電,"74,443,659","17,976","11,211,962,367",149,152,148.5,151,+,2.5,"64,063,231","52,715,102","11,348,129","956,000","104,000","852,000","-540,000",,,"11,660,129",17.12,3.75,2.98,"292,000","712,000","-420,000","337,000","457,000","-120,000",,,
20150225,2330,台積電,"48,326,782","13,778","7,425,359,928",152.5,154.5,152.5,154.5,+,3.5,"40,492,478","18,325,419","22,167,059","1,655,000","540,000","1,115,000","-1,076,042",,,"22,206,017",15.18,3.83,2.91,"321,000","920,000","-599,000","28,000","505,042","-477,042",,,
20150226,2330,台積電,"58,406,927","16,129","8,838,206,759",153.5,154,150.5,150.5,-,4,"42,609,000","34,196,637","8,412,363",0,"763,000","-763,000","512,000",,,"8,161,363",14.78,3.73,2.99,"1,186,000","726,000","460,000","197,000","145,000","52,000",,,
20150302,2330,台積電,"41,706,868","14,902","6,260,834,709",151.5,153,148.5,149,-,1.5,"24,653,251","32,267,748","-7,614,497","932,000","199,077","732,923","1,275,000",,,"-5,606,574",14.64,3.7,3.02,"1,365,000","291,000","1,074,000","275,000","74,000","201,000",,,
20150303,2330,台積電,"29,205,565","10,700","4,374,634,250",150,151,148.5,150.5,+,1.5,"17,948,629","17,096,346","852,283","68,000","568,000","-500,000","508,269",,,"860,552",14.78,3.73,2.99,"931,000","343,000","588,000","318,000","397,731","-79,731",,,
20150304,2330,台積電,"32,781,813","9,519","4,936,813,407",150,151.5,149,150.5, ,0,"23,545,000","20,780,656","2,764,344","62,000","269,000","-207,000","-277,000",,,"2,280,344",14.78,3.73,2.99,"449,000","463,000","-14,000","20,000","283,000","-263,000",,,
20150305,2330,台積電,"29,851,795","8,059","4,474,822,250",150,151,148.5,150,-,0.5,"19,468,000","17,055,175","2,412,825","267,000","312,000","-45,000","-974,042",,,"1,393,783",14.73,3.72,3,"313,000","150,000","163,000","78,000","1,215,042","-1,137,042",,,
20150306,2330,台積電,"33,211,114","9,540","4,948,740,906",149,149.5,148.5,149,-,1,"19,298,303","26,316,760","-7,018,457","25,000","360,000","-335,000","2,206,000",,,"-5,147,457",14.64,3.7,3.02,"2,009,000","42,000","1,967,000","265,000","26,000","239,000",,,
20150309,2330,台積電,"67,545,510","21,963","9,855,160,676",147.5,147.5,145,145.5,-,3.5,"14,987,567","53,421,586","-38,434,019","339,000","100,000","239,000","4,126,841",,,"-34,068,178",14.29,3.61,3.09,"3,240,000","770,000","2,470,000","1,763,000","106,159","1,656,841",,,
20150310,2330,台積電,"46,859,211","17,451","6,762,792,095",145,145,144,144,-,1.5,"9,355,224","41,278,219","-31,922,995","301,000","153,000","148,000","2,271,000",,,"-29,503,995",14.15,3.57,3.13,"1,800,000","85,000","1,715,000","834,000","278,000","556,000",,,
20150311,2330,台積電,"51,828,263","14,996","7,572,305,994",143.5,148,143,146,+,2,"25,167,867","35,860,500","-10,692,633","748,000","97,000","651,000","407,000",,,"-9,634,633",14.34,3.62,3.08,"1,485,000","728,000","757,000","158,000","508,000","-350,000",,,
20150312,2330,台積電,"32,364,794","10,987","4,785,611,312",147,148.5,146.5,148,+,2,"16,141,512","19,351,753","-3,210,241","1,742,000","26,100","1,715,900","-770,000",,,"-2,264,341",14.54,3.67,3.04,"120,000","527,000","-407,000","91,000","454,000","-363,000",,,
20150313,2330,台積電,"46,407,830","12,528","6,904,477,410",148,149.5,147,149,+,1,"27,361,462","33,295,692","-5,934,230","552,000","11,000","541,000","-533,000",,,"-5,926,230",14.64,3.7,3.02,"536,000","963,000","-427,000","117,000","223,000","-106,000",,,
20150316,2330,台積電,"37,462,553","10,187","5,514,486,291",149,149.5,146,146,-,3,"20,744,324","31,437,903","-10,693,579","8,000","137,000","-129,000","110,000",,,"-10,712,579",14.34,3.62,3.08,"328,000","307,000","21,000","181,000","92,000","89,000",,,
20150317,2330,台積電,"55,770,359","16,064","8,326,102,991",148.5,150,148.5,149,+,3,"42,559,660","34,420,000","8,139,660","248,000","40,000","208,000","-4,257,042",,,"4,090,618",14.64,3.7,3.02,"5,000","4,149,000","-4,144,000","182,000","295,042","-113,042",,,
20150318,2330,台積電,"71,220,784","24,516","10,852,430,499",151,154,150,153.5,+,4.5,"50,908,568","28,868,191","22,040,377",0,"187,000","-187,000","-2,896,000",,,"18,957,377",15.08,3.81,2.93,"389,000","2,788,000","-2,399,000","416,000","913,000","-497,000",,,
20150319,2330,台積電,"43,512,703","14,822","6,700,872,109",152.5,155,152.5,154,+,0.5,"30,273,000","26,503,635","3,769,365","491,000","236,000","255,000","-478,000",,,"3,546,365",15.13,3.82,2.92,"894,000","544,000","350,000","53,000","881,000","-828,000",,,
20150320,2330,台積電,"38,594,575","8,722","5,909,217,707",151.5,154,151.5,154, ,0,"31,381,040","31,239,677","141,363","11,000","762,000","-751,000","-325,000",,,"-934,637",15.13,3.82,2.92,"168,000","595,000","-427,000","223,000","121,000","102,000",,,
20150323,2330,台積電,"26,369,028","8,438","4,049,600,743",154,154,152.5,153.5,-,0.5,"21,396,376","14,656,870","6,739,506","98,000","521,000","-423,000","-362,000",,,"5,954,506",15.08,3.81,2.93,"68,000","30,000","38,000","79,000","479,000","-400,000",,,
20150324,2330,台積電,"38,207,799","9,866","5,811,312,948",153.5,153.5,151.5,151.5,-,2,"24,774,547","28,432,052","-3,657,505",0,"862,000","-862,000","-85,000",,,"-4,604,505",14.88,3.76,2.97,"348,000","525,000","-177,000","264,000","172,000","92,000",,,
20150325,2330,台積電,"50,140,683","8,084","7,584,239,053",152,152.5,150.5,151,-,0.5,"37,658,825","43,763,670","-6,104,845",0,"524,000","-524,000","93,000",,,"-6,535,845",14.83,3.75,2.98,"388,000","303,000","85,000","149,000","141,000","8,000",,,
20150326,2330,台積電,"162,835,475","40,030","23,745,941,540",145.5,147,144.5,145.5,-,5.5,"83,925,000","151,775,692","-67,850,692","10,000","1,021,000","-1,011,000","5,800,000",,,"-63,061,692",14.29,3.61,3.09,"1,913,000","387,000","1,526,000","4,368,000","94,000","4,274,000",,,
20150327,2330,台積電,"112,919,978","31,660","16,228,885,022",144,145.5,142.5,142.5,-,3,"37,270,706","105,498,172","-68,227,466","10,000","1,306,000","-1,296,000","2,558,000",,,"-66,965,466",14,3.53,3.16,"1,453,000","258,000","1,195,000","1,555,000","192,000","1,363,000",,,
20150330,2330,台積電,"64,898,228","20,026","9,275,490,102",142.5,144,142,142.5, ,0,"23,894,477","59,020,071","-35,125,594","542,000","216,000","326,000","154,000",,,"-34,645,594",14,3.53,3.16,"504,000","984,000","-480,000","782,000","148,000","634,000",,,
20150331,2330,台積電,"56,918,778","14,570","8,225,648,688",144,145.5,143,145.5,+,3,"26,724,000","45,063,404","-18,339,404","118,000","199,000","-81,000","1,408,000",,,"-17,012,404",14.29,3.61,3.09,"1,209,000","267,000","942,000","630,000","164,000","466,000",,,
20150401,2330,台積電,"39,056,191","11,700","5,643,680,541",145,145,143.5,144,-,1.5,"15,318,158","28,778,570","-13,460,412","25,000","124,000","-99,000","-161,000",,,"-13,720,412",14.15,3.57,3.13,"1,494,000","421,000","1,073,000",0,"1,234,000","-1,234,000",,,
20150402,2330,台積電,"52,174,388","15,545","7,651,261,176",145,148,144.5,147,+,3,"36,344,927","32,384,850","3,960,077","353,000","302,000","51,000","-1,722,000",,,"2,289,077",14.44,3.65,3.06,"171,000","461,000","-290,000","229,000","1,661,000","-1,432,000",,,
20150407,2330,台積電,"34,901,698","9,240","5,106,814,058",146.5,147.5,145,146,-,1,"19,688,158","24,877,022","-5,188,864","8,000","160,000","-152,000","-364,000",,,"-5,704,864",14.34,3.62,3.08,"121,000","145,000","-24,000","32,000","372,000","-340,000",,,
20150408,2330,台積電,"49,474,198","14,640","7,132,875,065",145.5,146,143,143,-,3,"29,336,200","40,987,840","-11,651,640","11,000","838,000","-827,000","698,000",,,"-11,780,640",14.05,3.55,3.15,"506,000","74,000","432,000","549,000","283,000","266,000",,,
20150409,2330,台積電,"47,243,108","14,341","6,801,837,297",144,145.5,143,143, ,0,"27,606,535","34,656,070","-7,049,535",0,"698,000","-698,000","14,000",,,"-7,733,535",14.05,3.55,3.15,"345,000","566,000","-221,000","530,000","295,000","235,000",,,
20150410,2330,台積電,"33,908,579","13,442","4,948,520,786",146,147,145,147,+,4,"20,179,000","16,422,838","3,756,162",0,"560,000","-560,000","-133,000",,,"3,063,162",14.44,3.65,3.06,"238,000","647,000","-409,000","619,000","343,000","276,000",,,
20150413,2330,台積電,"26,427,202","10,892","3,876,943,634",146.5,147.5,146,147, ,0,"10,105,100","19,487,140","-9,382,040","418,000","490,000","-72,000","-82,000",,,"-9,536,040",14.44,3.65,3.06,"268,000","598,000","-330,000","508,000","260,000","248,000",,,
20150414,2330,台積電,"41,702,197","15,801","6,021,009,775",145,145.5,143.5,144,-,3,"10,382,200","33,736,911","-23,354,711","195,000","643,000","-448,000","-8,000",,,"-23,810,711",14.15,3.57,3.13,"800,000","2,027,000","-1,227,000","1,361,000","142,000","1,219,000",,,
20150415,2330,台積電,"71,626,316","24,704","10,214,833,004",143.5,144.5,141.5,143,-,1,"17,248,000","57,579,399","-40,331,399","135,000","311,000","-176,000","3,284,000",,,"-37,223,399",14.05,3.55,3.15,"2,923,000","512,000","2,411,000","1,008,000","135,000","873,000",,,
20150416,2330,台積電,"55,563,272","20,084","8,114,893,484",145,147,144.5,147,+,4,"37,938,000","26,689,294","11,248,706","130,000","402,000","-272,000","979,000",,,"11,955,706",14.44,3.65,3.06,"400,000","529,000","-129,000","1,526,000","418,000","1,108,000",,,
20150417,2330,台積電,"79,007,681","29,078","11,301,095,708",143,144,142.5,142.5,-,4.5,"30,610,073","66,342,568","-35,732,495","70,000","2,377,000","-2,307,000","-1,794,000",,,"-39,833,495",14,3.53,3.16,"632,000","1,692,000","-1,060,000","305,000","1,039,000","-734,000",,,
20150420,2330,台積電,"43,593,805","9,856","6,220,438,078",142,144,141.5,143,+,0.5,"26,616,387","35,487,426","-8,871,039","15,000","449,000","-434,000","-382,000",,,"-9,687,039",14.05,3.55,3.15,"615,000","290,000","325,000","171,000","878,000","-707,000",,,
20150421,2330,台積電,"40,892,605","10,238","5,824,163,035",142,143.5,141.5,142.5,-,0.5,"27,845,601","36,217,755","-8,372,154",0,"296,000","-296,000","-258,000",,,"-8,926,154",14,3.53,3.16,"94,000","326,000","-232,000","148,000","174,000","-26,000",,,
20150422,2330,台積電,"40,631,875","12,231","5,844,788,500",143.5,145,143,143.5,+,1,"30,717,485","30,092,716","624,769",0,"161,000","-161,000","-279,000",,,"184,769",14.1,3.56,3.14,"526,000","514,000","12,000","214,000","505,000","-291,000",,,
20150423,2330,台積電,"47,851,742","18,425","7,010,815,563",145.5,147,145,147,+,3.5,"34,075,300","18,605,367","15,469,933","573,000","55,000","518,000","1,288,000",,,"17,275,933",14.44,3.65,3.06,"838,000","252,000","586,000","815,000","113,000","702,000",,,
20150424,2330,台積電,"135,458,464","35,056","20,467,883,674",149,152.5,148.5,152.5,+,5.5,"124,714,921","35,897,995","88,816,926","552,000","784,000","-232,000","-1,957,000",,,"86,627,926",14.98,3.78,2.95,"968,000","1,354,000","-386,000","731,000","2,302,000","-1,571,000",,,
20150427,2330,台積電,"58,112,934","14,169","8,802,544,948",153,153,150,151.5,-,1,"45,362,000","19,687,202","25,674,798","30,000","681,000","-651,000","555,000",,,"25,578,798",14.88,3.76,2.97,"334,000","510,000","-176,000","964,000","233,000","731,000",,,
20150428,2330,台積電,"43,295,538","12,673","6,563,481,738",153.5,153.5,150.5,151.5, ,0,"33,593,800","20,360,935","13,232,865","70,000","360,000","-290,000","241,990",,,"13,184,855",14.88,3.76,2.97,"288,000","407,000","-119,000","743,990","383,000","360,990",,,
20150429,2330,台積電,"37,440,139","11,220","5,582,483,598",150,151,148,148.5,-,3,"21,081,000","22,746,484","-1,665,484","93,000","432,000","-339,000","2,187,000",,,"182,516",14.59,3.68,3.03,"1,942,000","285,000","1,657,000","729,000","199,000","530,000",,,
20150430,2330,台積電,"48,982,979","13,793","7,212,381,413",147,148.5,146.5,147,-,1.5,"27,266,706","41,756,289","-14,489,583","55,000","155,000","-100,000","56,000",,,"-14,533,583",14.44,3.65,3.06,"432,000","710,000","-278,000","536,000","202,000","334,000",,,
20150504,2330,台積電,"30,868,640","8,598","4,548,281,580",148.5,148.5,146,147.5,+,0.5,"21,464,283","23,882,421","-2,418,138","310,000","256,000","54,000","841,010",,,"-1,523,128",14.49,3.66,3.05,"273,000","388,000","-115,000","1,140,010","184,000","956,010",,,
20150505,2330,台積電,"27,789,400","6,502","4,083,589,300",147.5,148,146,147,-,0.5,"18,641,804","23,984,500","-5,342,696","128,000","110,000","18,000","-562,000",,,"-5,886,696",14.44,3.65,3.06,0,"236,000","-236,000","141,000","467,000","-326,000",,,
20150506,2330,台積電,"18,824,208","6,477","2,765,471,076",145.5,148,145.5,147.5,+,0.5,"8,723,000","13,512,238","-4,789,238","21,000","454,000","-433,000","492,000",,,"-4,730,238",14.49,3.66,3.05,"180,000","123,000","57,000","634,000","199,000","435,000",,,
20150507,2330,台積電,"21,908,150","5,816","3,209,664,442",146,147.5,146,146.5,-,1,"13,792,873","15,651,882","-1,859,009","206,000","9,000","197,000","255,000",,,"-1,407,009",14.39,3.63,3.07,"286,000","55,000","231,000","280,000","256,000","24,000",,,
20150508,2330,台積電,"20,035,646","7,730","2,938,305,595",146,147.5,146,146.5, ,0,"13,386,224","13,578,282","-192,058","37,000","8,000","29,000","13,000",,,"-150,058",14.39,3.63,3.07,"172,000","34,000","138,000","163,000","288,000","-125,000",,,
20150511,2330,台積電,"20,402,529","6,385","3,020,441,292",149,149,147,148.5,+,2,"14,995,000","10,535,999","4,459,001","334,000","577,000","-243,000","-214,000",,,"4,002,001",14.59,3.68,3.03,"432,000","340,000","92,000","102,000","408,000","-306,000",,,
