DateTime,Volume,Transaction,Open,High,Low,Close,Dir,Change,ForeignBuy,ForeignSell,ForeignNet,TrustBuy,TrustSell,TrustNet,DealerNet,DealerBuy,DealerSell,InvestorsNet,PE-Ratio,PBR,Yield,ForeignVol,TrustVol,DealerVol,InvestorsVol,Pattern,Trend,InvestorsNet_Dir,ForeignNet_Dir,TrustNet_Dir,DealerNet_Dir,Dir2
2013-02-26,38498,9572,103.5,105.0,102.5,103.5,-,1.5,19485,28264,-8779,530,491,39,136,1048,912,-8604,17.19,3.71,2.9,47749,1021,1960,50730,0,0,0,0,1,1,2
2013-02-27,81358,13654,102.0,104.5,101.0,104.5,+,1.0,36511,63218,-26706,774,1666,-892,1712,2451,739,-25886,16.3,3.75,2.87,99730,2440,3190,105360,5,0,0,0,0,1,1
2013-03-01,35081,9263,103.0,105.0,102.5,105.0,+,0.5,24173,27303,-3130,0,1408,-1408,-191,1118,1309,-4729,16.38,3.76,2.86,51477,1408,2427,55312,0,0,0,0,0,0,1
2013-03-04,55265,11896,104.5,104.5,101.5,102.0,-,3.0,26640,46764,-20123,0,2313,-2313,2538,2732,193,-19898,15.91,3.66,2.94,73404,2313,2925,78642,0,0,0,0,0,1,2
2013-03-05,56213,9603,103.5,104.0,102.5,104.0,+,2.0,46530,43036,3493,825,1852,-1027,-1411,893,2304,1055,16.22,3.73,2.88,89567,2677,3197,95442,3,0,1,1,0,0,1
2013-03-06,38026,6844,104.0,104.5,103.0,104.0, ,0.0,33701,29780,3921,100,782,-682,-746,495,1241,2493,16.22,3.73,2.88,63482,882,1736,66100,0,0,1,1,0,0,0
2013-03-07,20783,6812,103.5,104.0,103.0,103.0,-,1.0,15121,14218,902,40,1100,-1060,-496,498,994,-653,16.07,3.69,2.91,29340,1140,1492,31972,0,0,0,1,0,0,2
2013-03-08,46036,8598,103.0,104.5,102.0,103.5,+,0.5,36098,27388,8709,344,3462,-3118,-1613,769,2382,3978,16.15,3.71,2.9,63486,3806,3151,70443,0,0,1,1,0,0,1
2013-03-11,36093,9071,102.0,104.0,102.0,102.0,-,1.5,20489,27564,-7075,0,1616,-1616,-392,1158,1550,-9083,15.91,3.66,2.94,48053,1616,2708,52377,0,0,0,0,0,0,2
2013-03-12,30064,6294,102.0,103.0,101.5,102.5,+,0.5,21646,18670,2976,40,3137,-3097,-72,556,628,-192,15.99,3.67,2.93,40316,3177,1184,44677,0,0,0,1,0,0,1
2013-03-13,57955,9978,102.5,105.0,102.0,104.5,+,2.0,50713,41194,9518,50,1375,-1325,-2560,513,3073,5633,16.3,3.75,2.87,91907,1425,3586,96918,0,2,1,1,0,0,1
2013-03-14,33067,7022,104.0,104.5,103.0,104.0,-,0.5,22627,26008,-3380,281,617,-336,-2014,329,2343,-5731,16.22,3.73,2.88,48636,898,2672,52207,0,2,0,0,0,0,2
2013-03-15,35632,6030,105.0,105.0,103.0,103.0,-,1.0,21338,28450,-7112,4935,119,4816,-1895,562,2457,-4191,16.07,3.69,2.91,49789,5054,3019,57862,1,2,0,0,1,0,2
